candidate,n_geometry,class_separation_ratio,batch_separation_ratio,spatial_separation_ratio,knn_class_purity,knn_batch_purity,spatial_knn_purity
B0_raw,10000,1.0269629955291748,1.099308967590332,1.5453197956085205,0.28883,0.61822,0.03507
B0_pca_controlled,10000,1.005082130432129,1.0177412033081055,1.2830997705459595,0.28899,0.6227,0.04181
B1_raw,10000,1.0237735509872437,1.0792149305343628,1.4247410297393799,0.30631,0.64583,0.04147
B1_pca_controlled,10000,1.0046724081039429,1.0156716108322144,1.2063888311386108,0.30632,0.65584,0.05734
B2_raw,10000,1.0239365100860596,1.1065150499343872,1.637474775314331,0.29402,0.71287,0.05734
B2_pca_controlled,10000,1.0043808221817017,1.019022822380066,1.3640570640563965,0.29725,0.77447,0.09462
B3_raw,10000,1.0220544338226318,1.0883110761642456,1.5084984302520752,0.30739,0.73141,0.06401
B3_pca_controlled,10000,1.0043025016784668,1.0171188116073608,1.2804558277130127,0.3096,0.79321,0.10604
