candidate,fold,comparison,auroc,auprc,f1,balanced_accuracy,sensitivity,precision,specificity,n_val
FOV12,0,neutrophil_vs_myeloid,0.6987911503888513,0.4862579288436395,0.5114035087719299,0.6521185576676622,0.5912778904665315,0.45054095826893353,0.7129592248687929,3463
FOV12,0,neutrophil_vs_tb,0.7527534940481848,0.3612983670923035,0.3885441527446301,0.6452502779727896,0.4127789046653144,0.36699729486023447,0.8777216512802648,6727
FOV12,1,neutrophil_vs_myeloid,0.6777725497933893,0.17486009342232128,0.24213075060532688,0.6338843586717715,0.47393364928909953,0.16260162601626016,0.7938350680544436,2709
FOV12,1,neutrophil_vs_tb,0.6606626467801655,0.11323749608675701,0.14173228346456693,0.611270630416711,0.46919431279620855,0.08347386172006746,0.7533469480372135,4618
FOV12,2,neutrophil_vs_myeloid,0.6969098821757618,0.3517687161272053,0.35002215330084185,0.6013034983069533,0.3227124183006536,0.3823814133591481,0.879894578313253,6536
FOV12,2,neutrophil_vs_tb,0.6894592433358209,0.3118300365527578,0.36530729465824235,0.6232259491873543,0.5196078431372549,0.2816651904340124,0.7268440552374537,7162
FOV12,3,neutrophil_vs_myeloid,0.6718649913771865,0.3511044007111538,0.42524916943521596,0.6188223700418822,0.5818181818181818,0.33507853403141363,0.6558265582655827,1437
FOV12,3,neutrophil_vs_tb,0.6828506939441963,0.350095771827061,0.4229074889867841,0.6379772367094079,0.5818181818181818,0.33217993079584773,0.694136291600634,1592
FOV12,4,neutrophil_vs_myeloid,0.6934077113597865,0.6126200569655793,0.5807027992852888,0.6379977927211129,0.5755608028335301,0.5859375,0.7004347826086956,7988
FOV12,4,neutrophil_vs_tb,0.7026625467670798,0.6652291006356084,0.6400116737195388,0.6503452640992893,0.64728453364817,0.6329004329004329,0.6534059945504087,7058
FOV16,0,neutrophil_vs_myeloid,0.6577410759105474,0.4465763204825003,0.47572815533980584,0.6237504718869993,0.5466531440162272,0.42109375,0.7008477997577715,3463
FOV16,0,neutrophil_vs_tb,0.7438124334658394,0.3514039902396964,0.36536631779257855,0.6309742067396786,0.3894523326572008,0.34408602150537637,0.8724960808221565,6727
FOV16,1,neutrophil_vs_myeloid,0.6565043503997511,0.14390451983269031,0.20610687022900762,0.5930640246794592,0.38388625592417064,0.1408695652173913,0.8022417934347478,2709
FOV16,1,neutrophil_vs_tb,0.6353205854107586,0.09866160440831542,0.14713430282292558,0.6048579543315944,0.4075829383886256,0.08977035490605428,0.8021329702745632,4618
FOV16,2,neutrophil_vs_myeloid,0.6933449945615797,0.3415906811305286,0.38084464555052794,0.6194120846129616,0.4125816993464052,0.3536414565826331,0.8262424698795181,6536
FOV16,2,neutrophil_vs_tb,0.7135269792210137,0.3095917562958087,0.39605961101288206,0.6559805352476682,0.6405228758169934,0.28665447897623403,0.6714381946783429,7162
FOV16,3,neutrophil_vs_myeloid,0.6451068955133996,0.3384583694283143,0.4024767801857585,0.5949125400344912,0.5909090909090909,0.3051643192488263,0.5989159891598916,1437
FOV16,3,neutrophil_vs_tb,0.7045670652643711,0.3998159163429155,0.4233409610983982,0.6380684819670557,0.5606060606060606,0.3400735294117647,0.7155309033280507,1592
FOV16,4,neutrophil_vs_myeloid,0.7037822108721319,0.62203719655083,0.6021790341578328,0.6540830809506699,0.6036009445100354,0.6007638072855465,0.7045652173913044,7988
FOV16,4,neutrophil_vs_tb,0.737340034872237,0.6978039089481683,0.6826022001901398,0.6716852072871394,0.7417355371900827,0.6322012578616352,0.6016348773841962,7058
FOV20,0,neutrophil_vs_myeloid,0.6534191642215892,0.43284403112754144,0.4367245657568239,0.604229909078328,0.4462474645030426,0.42759961127308066,0.7622123536536133,3463
FOV20,0,neutrophil_vs_tb,0.7441384574780244,0.34561711781430027,0.36354220611082344,0.6262587388744637,0.35598377281947263,0.37142857142857144,0.8965337049294548,6727
FOV20,1,neutrophil_vs_myeloid,0.6348187554783163,0.15593464684666053,0.22750424448217313,0.5965179726719765,0.3175355450236967,0.17724867724867724,0.8755004003202562,2709
FOV20,1,neutrophil_vs_tb,0.6452487802150177,0.12662169858128006,0.17001180637544275,0.60662700550718,0.3412322274881517,0.11320754716981132,0.8720217835262083,4618
FOV20,2,neutrophil_vs_myeloid,0.6769904372391528,0.33403653707115244,0.3221288515406162,0.5869968845972124,0.2818627450980392,0.3758169934640523,0.8921310240963856,6536
FOV20,2,neutrophil_vs_tb,0.7143596576387377,0.3277240995015095,0.3891625615763547,0.6409587524242885,0.5163398692810458,0.31225296442687744,0.7655776355675311,7162
FOV20,3,neutrophil_vs_myeloid,0.6380389258438038,0.31919201103118117,0.4147368421052631,0.6074279379157428,0.5969696969696969,0.317741935483871,0.6178861788617886,1437
FOV20,3,neutrophil_vs_tb,0.6810978245209626,0.3723134859247452,0.39736553238199784,0.6157638188541517,0.5484848484848485,0.31153184165232356,0.6830427892234548,1592
FOV20,4,neutrophil_vs_myeloid,0.6691741953698476,0.5746382983444772,0.584892584892585,0.6247627175196345,0.6227863046044865,0.5513457015939378,0.6267391304347826,7988
FOV20,4,neutrophil_vs_tb,0.7212392512120032,0.6874746327825769,0.6783657066309444,0.663181319547433,0.7473435655253837,0.6210448859455482,0.5790190735694822,7058
FOV24,0,neutrophil_vs_myeloid,0.6891662933880134,0.4801748384920346,0.46963562753036436,0.6291172908404379,0.47058823529411764,0.4686868686868687,0.7876463463867581,3463
FOV24,0,neutrophil_vs_tb,0.7772986591942306,0.36602163498154466,0.36657963446475195,0.6276522243299593,0.35598377281947263,0.37782561894510225,0.899320675840446,6727
FOV24,1,neutrophil_vs_myeloid,0.6195136203749729,0.15425164661019702,0.21906693711967545,0.5823255761006909,0.2559241706161137,0.19148936170212766,0.9087269815852682,2709
FOV24,1,neutrophil_vs_tb,0.6450186422505342,0.15464188992446884,0.16240266963292546,0.6032104246045444,0.3459715639810427,0.10610465116279069,0.8604492852280463,4618
FOV24,2,neutrophil_vs_myeloid,0.6355424762776597,0.28362654308894436,0.2210826210826211,0.5475277334829514,0.15849673202614378,0.3653483992467043,0.936558734939759,6536
FOV24,2,neutrophil_vs_tb,0.6972751658202295,0.2988177712374475,0.35991957104557637,0.6163819434813332,0.4387254901960784,0.30511363636363636,0.794038396766588,7162
FOV24,3,neutrophil_vs_myeloid,0.6374804960170815,0.3336976321733637,0.4117647058823529,0.6077358955407736,0.5515151515151515,0.3285198555956679,0.6639566395663956,1437
FOV24,3,neutrophil_vs_tb,0.6607165153916343,0.3501524413667848,0.3777520278099653,0.6003769869855449,0.49393939393939396,0.3058161350844278,0.7068145800316957,1592
FOV24,4,neutrophil_vs_myeloid,0.6561522765771778,0.5679201120686057,0.5800482703137572,0.6119322673374057,0.6384297520661157,0.5314496314496314,0.5854347826086956,7988
FOV24,4,neutrophil_vs_tb,0.7257885661526979,0.6914144533867497,0.685640362225097,0.6605684753690699,0.782172373081464,0.6103178258866881,0.5389645776566757,7058
FOV32,0,neutrophil_vs_myeloid,0.6376399180779603,0.4192296159601592,0.4117951370926022,0.5910060180434848,0.40365111561866124,0.42027455121436114,0.7783609204683084,3463
FOV32,0,neutrophil_vs_tb,0.7669722394660944,0.3678924812643244,0.3311337732453509,0.6046868314564502,0.2799188640973631,0.4052863436123348,0.9294547988155374,6727
