candidate,n_geometry,class_separation_ratio,batch_separation_ratio,spatial_separation_ratio,knn_class_purity,knn_batch_purity,spatial_knn_purity
FOV12,10000,1.0269629955291748,1.099308967590332,1.5453200340270996,0.28883,0.61822,0.03507
FOV16,10000,1.0326179265975952,1.127288818359375,1.8958451747894287,0.29197,0.73083,0.04894
FOV20,10000,1.0318400859832764,1.147243857383728,2.06164288520813,0.28371,0.79467,0.06217
FOV24,10000,1.0327179431915283,1.165204644203186,2.1366376876831055,0.27362,0.8381,0.07068
FOV32,10000,1.0357340574264526,1.2150118350982666,2.6027138233184814,0.26525,0.90017,0.08869
