accuracy,balanced_accuracy,macro_f1,macro_auprc,macro_auroc,weighted_f1,mcc,lowest_three_f1,candidate,fold,n_train,n_val,mode,branch
0.49287645590682194,0.4435195158214003,0.41993285416130127,0.4379567270330345,0.7848561641306128,0.47392573306423114,0.3846076214830347,0.24983387708790294,B0_raw,0,76812,19232,raw,B0
0.4464935695219607,0.4590747393367406,0.4263918559409735,0.45765663869060813,0.7836715285658327,0.44917210042744865,0.33288425832121366,0.25285306439976396,B0_raw,1,79560,16484,raw,B0
0.4278021138930193,0.38944549291068553,0.37513654740356506,0.38195260199668407,0.7708787658684322,0.42170581175988586,0.31296254023905856,0.24866706677244796,B0_raw,2,71161,24883,raw,B0
0.48525469168900803,0.4518776046312097,0.4130304283079957,0.4286087708010644,0.8149740057101044,0.48728548630893603,0.39101504815957516,0.23033498072701442,B0_raw,3,89330,6714,raw,B0
0.47634958755351364,0.4824166213249242,0.4675734626071367,0.49554384540375596,0.815107530009619,0.46204154275757486,0.3897614544580079,0.3137081664952832,B0_raw,4,67313,28731,raw,B0
0.46162645590682194,0.41804387090657474,0.3840422877125261,0.4074049168467262,0.7676753346838341,0.44050404088716616,0.3535419657299249,0.20713838885674676,B0_pca_controlled,0,76812,19232,pca_controlled,B0
0.41476583353554963,0.4334395765796554,0.3907682480309962,0.42836736956862403,0.7650645629931221,0.41429945482002195,0.3002344835136481,0.220031234127087,B0_pca_controlled,1,79560,16484,pca_controlled,B0
0.40027327894546477,0.37076381910309403,0.34548624563976843,0.351228142576443,0.7468771506560223,0.3872225981721369,0.28417102888905155,0.22384977892865932,B0_pca_controlled,2,71161,24883,pca_controlled,B0
0.4615728328865058,0.4266148436016101,0.3792921100073565,0.4026957377640884,0.7940790084528785,0.45600206570946933,0.36821202623025523,0.18387767471904307,B0_pca_controlled,3,89330,6714,pca_controlled,B0
0.43987330757718146,0.44860676674632904,0.4249671378904529,0.4541039654550653,0.7945478566115891,0.4186771430879378,0.34925161464437693,0.27492194570777084,B0_pca_controlled,4,67313,28731,pca_controlled,B0
0.5042117304492513,0.4553216926277776,0.43361750437606605,0.45052757480115607,0.7919125469662415,0.48892334810354043,0.39902628773214693,0.26801180918712203,B1_raw,0,76812,19232,raw,B1
0.4617811210871148,0.4664684508687945,0.43887952760687343,0.46831959408045565,0.7912256871325896,0.46656156129273757,0.3481551419558403,0.2680256014632962,B1_raw,1,79560,16484,raw,B1
0.43708556042277863,0.39289341187415044,0.3797646565702297,0.38613069264220373,0.7735470171407896,0.4359818720815663,0.32346692516009484,0.23693352918408314,B1_raw,2,71161,24883,raw,B1
0.5089365504915103,0.46922572226815984,0.4312147432716445,0.44549817819642296,0.8209453956827317,0.5089231372622274,0.4156772190839012,0.24036027505653093,B1_raw,3,89330,6714,raw,B1
0.49222094601649785,0.49986991825583843,0.48861312803098444,0.5124095536829502,0.8243722726974259,0.4827002239347651,0.4082240774808105,0.34499864710879263,B1_raw,4,67313,28731,raw,B1
0.490276622296173,0.4445043929238311,0.4184376791978594,0.4319127182831222,0.7840513995700188,0.4752170429530493,0.3848975105393371,0.25339654765710345,B1_pca_controlled,0,76812,19232,pca_controlled,B1
0.44139771900024266,0.4562674279016455,0.41196353659143886,0.44991994756099285,0.7834280654073951,0.4398806503126317,0.32880311852847016,0.23262248640852987,B1_pca_controlled,1,79560,16484,pca_controlled,B1
0.4190813004862758,0.38447997684237983,0.3630652342411843,0.37060343028334686,0.7639009291121365,0.4138659546554843,0.30634056123467235,0.22683509050383832,B1_pca_controlled,2,71161,24883,pca_controlled,B1
0.4988084599344653,0.4579792485268543,0.41441316397115757,0.4272087755035103,0.8106710677709233,0.49353162373481385,0.4061351084212453,0.2139445046097099,B1_pca_controlled,3,89330,6714,pca_controlled,B1
0.4690752149246459,0.4797642937731731,0.46118883913634867,0.48961783950001614,0.8151029226320492,0.45357367379462243,0.38332168949003886,0.3256482770853982,B1_pca_controlled,4,67313,28731,pca_controlled,B1
0.48996464226289516,0.44599058240240325,0.41526086311814087,0.43484015726094016,0.7812888891665226,0.46818418094690323,0.3840130215139548,0.23896568250665687,B2_raw,0,76812,19232,raw,B2
0.4458869206503276,0.44911188602469837,0.4255615080107285,0.44752601384851054,0.7749809550164092,0.4501611044874054,0.32804507738756405,0.2533557932921453,B2_raw,1,79560,16484,raw,B2
0.4312984768717598,0.37882855231546003,0.3715020441102732,0.36978180225224794,0.7618291194668831,0.4236742765332934,0.3100296017879614,0.2377142065853103,B2_raw,2,71161,24883,raw,B2
0.48838248436103665,0.4508909861454103,0.4115073270464303,0.4276114998240695,0.8107703909500181,0.4902625252694465,0.39473492453384823,0.2144087484822231,B2_raw,3,89330,6714,raw,B2
0.4688315756499948,0.4764862473921645,0.4567473055616662,0.48911818745354685,0.811691203206724,0.4507978133282402,0.3826393875144301,0.297289723907238,B2_raw,4,67313,28731,raw,B2
0.46812603993344426,0.42374515091651027,0.3937082000340979,0.40629328397865766,0.7656726353016291,0.4479050267498538,0.358219478904915,0.2200619348452241,B2_pca_controlled,0,76812,19232,pca_controlled,B2
0.4343605920892987,0.4436454473440404,0.40784745159661095,0.42990533149062454,0.7643719221143004,0.43325406745023515,0.31694346282969504,0.23931302420914746,B2_pca_controlled,1,79560,16484,pca_controlled,B2
0.4152232447855966,0.3689779103214969,0.35444365768571334,0.35541239170356737,0.7546683458508604,0.400757036518382,0.29350452010275485,0.22626024363123384,B2_pca_controlled,2,71161,24883,pca_controlled,B2
0.4697646708370569,0.4378012130673042,0.38875214357200705,0.40647352401647413,0.7991606881138129,0.46689580124817803,0.3779969381781149,0.18569838697745397,B2_pca_controlled,3,89330,6714,pca_controlled,B2
0.4443632313528941,0.4557636943138151,0.4263822159656847,0.4597090184523389,0.7978933986549457,0.4189791247835218,0.3567990058847746,0.26458260584491705,B2_pca_controlled,4,67313,28731,pca_controlled,B2
0.49719217970049917,0.4541270241490111,0.4271232206756356,0.4453656153767628,0.7886148115011361,0.4808974209106125,0.3933183576650665,0.25730266280370534,B3_raw,0,76812,19232,raw,B3
