candidate,fold,true_class,predicted_class,count,rate_among_true
HIERARCHICAL,1,Plasma cell,Endothelial,151,0.09107358262967431
HIERARCHICAL,1,Plasma cell,Mesenchymal,431,0.25995174909529556
HIERARCHICAL,1,Plasma cell,Myeloid,124,0.07478890229191798
HIERARCHICAL,1,Plasma cell,Neutrophil,61,0.0367913148371532
HIERARCHICAL,1,Plasma cell,Plasma cell,661,0.3986731001206273
HIERARCHICAL,1,Plasma cell,T and B,178,0.10735826296743065
HIERARCHICAL,1,Plasma cell,Tumor,52,0.031363088057901084
HIERARCHICAL,1,T and B,Endothelial,592,0.13433174495121397
HIERARCHICAL,1,T and B,Mesenchymal,1490,0.33809847969140006
HIERARCHICAL,1,T and B,Myeloid,283,0.06421601996823235
HIERARCHICAL,1,T and B,Neutrophil,326,0.0739732244157023
HIERARCHICAL,1,T and B,Plasma cell,262,0.05945087361016565
HIERARCHICAL,1,T and B,T and B,1310,0.2972543680508282
HIERARCHICAL,1,T and B,Tumor,144,0.03267528931245745
HIERARCHICAL,1,Tumor,Endothelial,54,0.06214039125431531
HIERARCHICAL,1,Tumor,Mesenchymal,62,0.0713463751438435
HIERARCHICAL,1,Tumor,Myeloid,14,0.01611047180667434
HIERARCHICAL,1,Tumor,Neutrophil,7,0.00805523590333717
HIERARCHICAL,1,Tumor,Plasma cell,9,0.010356731875719217
HIERARCHICAL,1,Tumor,T and B,11,0.012658227848101266
HIERARCHICAL,1,Tumor,Tumor,712,0.8193325661680092
HIERARCHICAL,2,Endothelial,Endothelial,1315,0.44305929919137466
HIERARCHICAL,2,Endothelial,Mesenchymal,645,0.21731805929919137
HIERARCHICAL,2,Endothelial,Myeloid,308,0.10377358490566038
HIERARCHICAL,2,Endothelial,Neutrophil,99,0.03335579514824798
HIERARCHICAL,2,Endothelial,Plasma cell,41,0.013814016172506738
HIERARCHICAL,2,Endothelial,T and B,176,0.05929919137466307
HIERARCHICAL,2,Endothelial,Tumor,384,0.1293800539083558
HIERARCHICAL,2,Mesenchymal,Endothelial,440,0.1482979440512302
HIERARCHICAL,2,Mesenchymal,Mesenchymal,1129,0.3805190428041793
HIERARCHICAL,2,Mesenchymal,Myeloid,404,0.1361644759015841
HIERARCHICAL,2,Mesenchymal,Neutrophil,120,0.04044489383215369
HIERARCHICAL,2,Mesenchymal,Plasma cell,89,0.029996629592180656
HIERARCHICAL,2,Mesenchymal,T and B,394,0.13279406808223795
HIERARCHICAL,2,Mesenchymal,Tumor,391,0.13178294573643412
HIERARCHICAL,2,Myeloid,Endothelial,360,0.0677710843373494
HIERARCHICAL,2,Myeloid,Mesenchymal,919,0.17300451807228914
HIERARCHICAL,2,Myeloid,Myeloid,1155,0.21743222891566266
HIERARCHICAL,2,Myeloid,Neutrophil,313,0.058923192771084335
HIERARCHICAL,2,Myeloid,Plasma cell,165,0.03106174698795181
HIERARCHICAL,2,Myeloid,T and B,521,0.09807981927710843
HIERARCHICAL,2,Myeloid,Tumor,1879,0.3537274096385542
HIERARCHICAL,2,Neutrophil,Endothelial,74,0.06045751633986928
HIERARCHICAL,2,Neutrophil,Mesenchymal,162,0.1323529411764706
HIERARCHICAL,2,Neutrophil,Myeloid,305,0.24918300653594772
HIERARCHICAL,2,Neutrophil,Neutrophil,237,0.19362745098039216
HIERARCHICAL,2,Neutrophil,Plasma cell,30,0.024509803921568627
HIERARCHICAL,2,Neutrophil,T and B,168,0.13725490196078433
HIERARCHICAL,2,Neutrophil,Tumor,248,0.20261437908496732
HIERARCHICAL,2,Plasma cell,Endothelial,70,0.05677210056772101
HIERARCHICAL,2,Plasma cell,Mesenchymal,251,0.2035685320356853
HIERARCHICAL,2,Plasma cell,Myeloid,206,0.16707218167072183
HIERARCHICAL,2,Plasma cell,Neutrophil,103,0.08353609083536091
HIERARCHICAL,2,Plasma cell,Plasma cell,281,0.2278994322789943
HIERARCHICAL,2,Plasma cell,T and B,190,0.154095701540957
HIERARCHICAL,2,Plasma cell,Tumor,132,0.1070559610705596
HIERARCHICAL,2,T and B,Endothelial,382,0.06433142472212866
HIERARCHICAL,2,T and B,Mesenchymal,921,0.1551027281913102
HIERARCHICAL,2,T and B,Myeloid,845,0.1423038059952846
HIERARCHICAL,2,T and B,Neutrophil,456,0.07679353317615359
HIERARCHICAL,2,T and B,Plasma cell,181,0.030481643651060965
HIERARCHICAL,2,T and B,T and B,1773,0.29858538228359716
HIERARCHICAL,2,T and B,Tumor,1380,0.2324014819804648
HIERARCHICAL,2,Tumor,Endothelial,76,0.01450104941804999
HIERARCHICAL,2,Tumor,Mesenchymal,151,0.028811295554283533
HIERARCHICAL,2,Tumor,Myeloid,218,0.0415951154359855
HIERARCHICAL,2,Tumor,Neutrophil,61,0.011639000190803281
HIERARCHICAL,2,Tumor,Plasma cell,25,0.004770082045411181
HIERARCHICAL,2,Tumor,T and B,59,0.011257393627170388
HIERARCHICAL,2,Tumor,Tumor,4651,0.8874260637282961
HIERARCHICAL,3,Endothelial,Endothelial,798,0.6399358460304732
HIERARCHICAL,3,Endothelial,Mesenchymal,192,0.15396952686447474
HIERARCHICAL,3,Endothelial,Myeloid,39,0.03127506014434643
HIERARCHICAL,3,Endothelial,Neutrophil,39,0.03127506014434643
HIERARCHICAL,3,Endothelial,Plasma cell,11,0.008821170809943865
HIERARCHICAL,3,Endothelial,T and B,49,0.03929430633520449
HIERARCHICAL,3,Endothelial,Tumor,119,0.0954290296712109
HIERARCHICAL,3,Mesenchymal,Endothelial,208,0.17946505608283003
HIERARCHICAL,3,Mesenchymal,Mesenchymal,458,0.39516824849007764
HIERARCHICAL,3,Mesenchymal,Myeloid,78,0.06729939603106126
HIERARCHICAL,3,Mesenchymal,Neutrophil,93,0.08024158757549611
HIERARCHICAL,3,Mesenchymal,Plasma cell,46,0.03968938740293356
HIERARCHICAL,3,Mesenchymal,T and B,171,0.14754098360655737
HIERARCHICAL,3,Mesenchymal,Tumor,105,0.090595340811044
HIERARCHICAL,3,Myeloid,Endothelial,137,0.12375790424570912
HIERARCHICAL,3,Myeloid,Mesenchymal,274,0.24751580849141824
HIERARCHICAL,3,Myeloid,Myeloid,140,0.12646793134598014
HIERARCHICAL,3,Myeloid,Neutrophil,201,0.18157181571815717
HIERARCHICAL,3,Myeloid,Plasma cell,61,0.05510388437217705
HIERARCHICAL,3,Myeloid,T and B,190,0.17163504968383017
