candidate,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
HIERARCHICAL,0,0,Endothelial,0.4411452810180276,0.5221757322175732,0.47825253880053653,0.8237698739801224,0.502392294473913,2390
HIERARCHICAL,0,1,Mesenchymal,0.36990027198549413,0.3632047477744807,0.3665219344213205,0.718182182975044,0.3507806483448621,3370
HIERARCHICAL,0,2,Myeloid,0.383939774153074,0.12353653613241825,0.18692730604764815,0.6821311120500186,0.2646127070156159,2477
HIERARCHICAL,0,3,Neutrophil,0.21464903357070192,0.21399594320486814,0.2143219908583037,0.695544762485384,0.1515622789140143,986
HIERARCHICAL,0,4,Plasma cell,0.32380216383307575,0.3074101247248716,0.3153933007150922,0.770737650596189,0.2898915926158873,1363
HIERARCHICAL,0,5,T and B,0.6337254901960784,0.5629681240202056,0.5962549580297021,0.8344601885525469,0.6604275810086242,5741
HIERARCHICAL,0,6,Tumor,0.5599593495934959,0.9483648881239243,0.7041533546325878,0.9654075216421864,0.8283307863756275,2905
HIERARCHICAL,1,0,Endothelial,0.4704616120545324,0.7347777362719462,0.5736366287547391,0.8737576173850194,0.6678044205894343,2677
HIERARCHICAL,1,1,Mesenchymal,0.3977682403433476,0.5564361191162344,0.4639103013314646,0.7083845316846937,0.46126542224113765,4164
HIERARCHICAL,1,2,Myeloid,0.3052294557097118,0.11449159327461969,0.16652110625909752,0.654761518352391,0.2431306233522669,2498
HIERARCHICAL,1,3,Neutrophil,0.05588235294117647,0.18009478672985782,0.08529741863075198,0.6916230560143384,0.04857812301213087,211
HIERARCHICAL,1,4,Plasma cell,0.4899925871015567,0.3986731001206273,0.4396408380445627,0.8295425976307067,0.4428603037061829,1658
HIERARCHICAL,1,5,T and B,0.5853440571939231,0.2972543680508282,0.39428141459744165,0.7625165343346835,0.5255581839702157,4407
HIERARCHICAL,1,6,Tumor,0.5588697017268446,0.8193325661680092,0.6644890340643956,0.9574030901065519,0.7811684774821686,869
HIERARCHICAL,2,0,Endothelial,0.4839896945160103,0.44305929919137466,0.4626209322779244,0.8352555019915835,0.4779966045450069,2968
HIERARCHICAL,2,1,Mesenchymal,0.27022498803255146,0.3805190428041793,0.31602519244226734,0.7446328531532567,0.2591079286922083,2967
HIERARCHICAL,2,2,Myeloid,0.33565823888404533,0.21743222891566266,0.2639095167371187,0.6265806529346656,0.31499483750026297,5312
HIERARCHICAL,2,3,Neutrophil,0.17062634989200864,0.19362745098039216,0.18140068886337546,0.7509475936280934,0.15166656009517474,1224
HIERARCHICAL,2,4,Plasma cell,0.3460591133004926,0.2278994322789943,0.2748166259168704,0.7928671196775084,0.24007192293251434,1233
HIERARCHICAL,2,5,T and B,0.5403840292593721,0.29858538228359716,0.3846404165310771,0.734415946392835,0.4765294203624527,5938
HIERARCHICAL,2,6,Tumor,0.5130722559293988,0.8874260637282961,0.6502166922969383,0.9105301681242882,0.7473371977171891,5241
HIERARCHICAL,3,0,Endothelial,0.6054628224582701,0.6399358460304732,0.6222222222222222,0.8781722924849527,0.6713431274681182,1247
HIERARCHICAL,3,1,Mesenchymal,0.35366795366795367,0.39516824849007764,0.3732681336593317,0.7373593269594432,0.37945873963165777,1159
HIERARCHICAL,3,2,Myeloid,0.332541567695962,0.12646793134598014,0.18324607329842935,0.6912848003101041,0.2749266508097987,1107
HIERARCHICAL,3,3,Neutrophil,0.15173410404624277,0.3181818181818182,0.2054794520547945,0.7766513822434875,0.14028439573610685,330
HIERARCHICAL,3,4,Plasma cell,0.20077220077220076,0.348993288590604,0.2549019607843137,0.8596267577196542,0.21146328522727154,149
HIERARCHICAL,3,5,T and B,0.48035363457760316,0.38748019017432644,0.42894736842105263,0.817077842877125,0.46483859883643985,1262
HIERARCHICAL,3,6,Tumor,0.7592051431911163,0.8897260273972603,0.8192999053926208,0.9672579534966184,0.9077161317007152,1460
HIERARCHICAL,4,0,Endothelial,0.4329547380912019,0.6295292087749569,0.5130574527922861,0.8464119967611571,0.5583269054967448,4057
HIERARCHICAL,4,1,Mesenchymal,0.37956864264496964,0.5516141141141141,0.4496978042995945,0.7730072119613525,0.43074486097988873,5328
HIERARCHICAL,4,2,Myeloid,0.370336669699727,0.17695652173913043,0.23948220064724918,0.6783526061551712,0.28909111507255003,4600
HIERARCHICAL,4,3,Neutrophil,0.4118095238095238,0.3190672963400236,0.35955429901879254,0.7847542577699372,0.3468155849930914,3388
HIERARCHICAL,4,4,Plasma cell,0.6067415730337079,0.6136363636363636,0.6101694915254238,0.8943516642726287,0.6613838699378454,4136
HIERARCHICAL,4,5,T and B,0.41007194244604317,0.17084468664850136,0.24120023081361802,0.7549367717157058,0.32374029355937944,3670
HIERARCHICAL,4,6,Tumor,0.6622749231444883,0.8490990990990991,0.7441401431038737,0.9619670009578267,0.8415077782101015,3552
