accuracy,balanced_accuracy,macro_f1,macro_auprc,macro_auroc,weighted_f1,mcc,lowest_three_f1,candidate,fold,n_train,n_val
0.49287645590682194,0.4435195158214003,0.41993285416130127,0.4379567270330345,0.7848561641306128,0.47392573306423114,0.3846076214830347,0.24983387708790294,FOV12,0,76812,19232
0.4464935695219607,0.4590747393367406,0.4263918559409735,0.45765663869060813,0.7836715285658327,0.44917210042744865,0.33288425832121366,0.25285306439976396,FOV12,1,79560,16484
0.4278021138930193,0.38944549291068553,0.37513654740356506,0.38195260199668407,0.7708787658684322,0.42170581175988586,0.31296254023905856,0.24866706677244796,FOV12,2,71161,24883
0.48525469168900803,0.4518776046312097,0.4130304283079957,0.4286087708010644,0.8149740057101044,0.48728548630893603,0.39101504815957516,0.23033498072701442,FOV12,3,89330,6714
0.47634958755351364,0.4824166213249242,0.4675734626071367,0.49554384540375596,0.815107530009619,0.46204154275757486,0.3897614544580079,0.3137081664952832,FOV12,4,67313,28731
0.48169717138103163,0.43100051254282407,0.40784419152337775,0.42178395093817533,0.7747008948069484,0.4620930832854805,0.37074088812372036,0.23509230601688413,FOV16,0,76812,19232
0.4313880126182965,0.4443430535045642,0.40611878656014583,0.44346125823811644,0.7751378926757209,0.42080561323577,0.31498287477629094,0.21700019668002254,FOV16,1,79560,16484
0.4300928344652976,0.37934399417227943,0.3742983526792725,0.3747257040389775,0.7687990401908323,0.4209416948578846,0.3072938393589719,0.2442867287787629,FOV16,2,71161,24883
0.48078641644325293,0.4392914273625578,0.4026580918101745,0.42700713598733975,0.8101529061474022,0.4735795300388023,0.3829684799286156,0.22055852997767453,FOV16,3,89330,6714
0.47025860568723676,0.47740598718089416,0.45311023231872305,0.48439444818209615,0.8124312381255259,0.4483921890116788,0.38550219308314787,0.2968445082222994,FOV16,4,67313,28731
0.45174708818635606,0.39031580917514386,0.366317382178686,0.37493361082275534,0.7476430758522808,0.426305259337174,0.3318583514554333,0.19760818752423137,FOV20,0,76812,19232
0.42125697646202376,0.4271875923057918,0.3851636672640248,0.4171381456451974,0.7573659801583391,0.40472319238356064,0.3009595763271816,0.2139910453828664,FOV20,1,79560,16484
0.4055379174536832,0.34790166974864606,0.3447351335899433,0.34870510776955194,0.7498713387483275,0.3907022382439761,0.2754496855247865,0.22150136173003895,FOV20,2,71161,24883
0.47036044086982426,0.41866989557651507,0.38743676699855073,0.4002129680185155,0.7918298499897328,0.4630493140050491,0.3711711505011517,0.20230779217166486,FOV20,3,89330,6714
0.4371584699453552,0.44709461814024787,0.41313963060639924,0.44635121100918596,0.7904734158344022,0.40784556219626095,0.35024600155667135,0.2574977602240302,FOV20,4,67313,28731
0.4312603993344426,0.36586124879951015,0.3393359197793343,0.3467561413886212,0.7349306414543061,0.4022573702898412,0.306657243577594,0.16960314019232434,FOV24,0,76812,19232
0.399174957534579,0.405936831069511,0.36034469649525136,0.3884305784564134,0.7412514333756243,0.3809874041516762,0.2777196213543611,0.20876777385657475,FOV24,1,79560,16484
0.39131133705742877,0.322858787220842,0.3187673721296577,0.3233618622091127,0.732776780737524,0.36897919486046477,0.2545415647371247,0.1921270305115991,FOV24,2,71161,24883
0.4529341674113792,0.390957821934427,0.35717925392502675,0.3860043597495011,0.7839137048253909,0.43538038781669863,0.3486379892397173,0.15951462926904394,FOV24,3,89330,6714
0.4145696286241342,0.42590717907913406,0.38428305402584517,0.42315385952416185,0.7763017951315397,0.37839015280896376,0.3260998322428879,0.2176896655813477,FOV24,4,67313,28731
0.4228369384359401,0.34416157756804505,0.31690211357066655,0.3243194370596188,0.7188819620489738,0.38411470498239025,0.2925037438998456,0.16071534604188945,FOV32,0,76812,19232
0.3834020868721184,0.3670420354282054,0.3274623707738532,0.3504160673414581,0.7206314519641577,0.35790893207921964,0.24941428585905717,0.1756458171786218,FOV32,1,79560,16484
0.36948920950046216,0.29570314981794976,0.2876204722768411,0.2929286415067408,0.702484372026294,0.3441480309486043,0.22707833708994057,0.1499762990054052,FOV32,2,71161,24883
0.4296991361334525,0.3668805327168935,0.3388928964485158,0.36013028701542943,0.7709587043027871,0.40910940967379505,0.31597903292444635,0.1654552710535178,FOV32,3,89330,6714
0.380390518951655,0.3916551944473296,0.3445210252947186,0.38862836641522464,0.7582804163581874,0.33910443982061794,0.28856678981288064,0.1794458931705112,FOV32,4,67313,28731
