candidate,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
F1_FINAL_BLOCK,0,0,Endothelial,0.43142389525368247,0.5514644351464435,0.4841138659320478,0.8328621065387936,0.5058448475739705,2390
F1_FINAL_BLOCK,0,1,Mesenchymal,0.37115533729645905,0.4261127596439169,0.3967398811990606,0.7291806332585913,0.3780996435003923,3370
F1_FINAL_BLOCK,0,2,Myeloid,0.35471930906847626,0.23213564796124345,0.2806246949731577,0.7118744373030448,0.28877865284479914,2477
F1_FINAL_BLOCK,0,3,Neutrophil,0.2502818489289741,0.22515212981744423,0.23705285638013882,0.7540625759426223,0.19089877647198336,986
F1_FINAL_BLOCK,0,4,Plasma cell,0.4991055456171735,0.40939104915627295,0.4498186215235792,0.830190593504607,0.44752555232096686,1363
F1_FINAL_BLOCK,0,5,T and B,0.6598,0.5746385647099809,0.6142817242342427,0.8495770293668075,0.6875786228399877,5741
F1_FINAL_BLOCK,0,6,Tumor,0.7167300380228137,0.908433734939759,0.8012752391073326,0.9728523030866477,0.8644908176812797,2905
F1_FINAL_BLOCK,1,0,Endothelial,0.544735406437534,0.7459843107956667,0.629670502916601,0.8999114453077579,0.7222078092985984,2677
F1_FINAL_BLOCK,1,1,Mesenchymal,0.5037957211870255,0.5259365994236311,0.5146281283045471,0.7705547491953291,0.5640992617772178,4164
F1_FINAL_BLOCK,1,2,Myeloid,0.396484375,0.16253002401921537,0.23055082339579785,0.7234749904886013,0.3278917819500913,2498
F1_FINAL_BLOCK,1,3,Neutrophil,0.038378378378378375,0.33649289099526064,0.06889859291606015,0.7125351999051726,0.050627630527573145,211
F1_FINAL_BLOCK,1,4,Plasma cell,0.5012201073694486,0.6194209891435465,0.554086862692204,0.8867226941487887,0.5859881879426551,1658
F1_FINAL_BLOCK,1,5,T and B,0.6419475655430712,0.3889267075107783,0.48438603928218166,0.8286464233294345,0.6186906343931523,4407
F1_FINAL_BLOCK,1,6,Tumor,0.7460136674259681,0.7537399309551208,0.7498568975386376,0.9641951930938908,0.8148616041267529,869
F1_FINAL_BLOCK,2,0,Endothelial,0.5128297795446332,0.478099730458221,0.49485614646904974,0.8468603579254077,0.5065350864301645,2968
F1_FINAL_BLOCK,2,1,Mesenchymal,0.31176708451273755,0.25985844287158744,0.28345588235294117,0.7497718715568891,0.28228598722195397,2967
F1_FINAL_BLOCK,2,2,Myeloid,0.3737942122186495,0.26261295180722893,0.3084918177797435,0.6578645838784087,0.36506418015469577,5312
F1_FINAL_BLOCK,2,3,Neutrophil,0.15238642898217367,0.43300653594771243,0.22543598468736709,0.7844957956554277,0.16678315673127592,1224
F1_FINAL_BLOCK,2,4,Plasma cell,0.3298429319371728,0.35766423357664234,0.34319066147859917,0.8236116898058843,0.3047513448417861,1233
F1_FINAL_BLOCK,2,5,T and B,0.5579874928936897,0.3305826877736612,0.41518612521150594,0.7746365829503622,0.5218535724517946,5938
F1_FINAL_BLOCK,2,6,Tumor,0.5930324623911323,0.8574699484831139,0.7011467353147671,0.9233193210169728,0.7918197192789744,5241
F1_FINAL_BLOCK,3,0,Endothelial,0.6171875,0.6968724939855654,0.6546139359698682,0.894143309958167,0.7135414493600845,1247
F1_FINAL_BLOCK,3,1,Mesenchymal,0.4871060171919771,0.29335634167385677,0.36618201400107697,0.7547464409944015,0.4281138670883626,1159
F1_FINAL_BLOCK,3,2,Myeloid,0.34036144578313254,0.2041553748870822,0.2552230378317335,0.7132525980155469,0.303830574869845,1107
F1_FINAL_BLOCK,3,3,Neutrophil,0.15340253748558247,0.403030303030303,0.2222222222222222,0.7931986690210375,0.19353861988386034,330
F1_FINAL_BLOCK,3,4,Plasma cell,0.25225225225225223,0.37583892617449666,0.3018867924528302,0.8816164631434749,0.287853225061143,149
F1_FINAL_BLOCK,3,5,T and B,0.4887599709934735,0.5340729001584786,0.5104127224536161,0.8484259109613013,0.5104721462969951,1262
F1_FINAL_BLOCK,3,6,Tumor,0.8624661246612466,0.8719178082191781,0.8671662125340599,0.9760609659437558,0.9378975777789673,1460
F1_FINAL_BLOCK,4,0,Endothelial,0.46225710014947685,0.6098102045846685,0.525879477096397,0.8540679157220756,0.547452229039794,4057
F1_FINAL_BLOCK,4,1,Mesenchymal,0.5189248491497531,0.3551051051051051,0.42166258078894586,0.8050191864406389,0.4950884545777935,5328
F1_FINAL_BLOCK,4,2,Myeloid,0.37199180747567845,0.3158695652173913,0.34164119445097574,0.7265936698780029,0.3388224089861166,4600
F1_FINAL_BLOCK,4,3,Neutrophil,0.3602807971014493,0.46959858323494685,0.40773962070732955,0.8180951675945811,0.37786362129441525,3388
F1_FINAL_BLOCK,4,4,Plasma cell,0.531681753215817,0.809477756286267,0.6418096424805905,0.9173872636124953,0.7490033430057154,4136
F1_FINAL_BLOCK,4,5,T and B,0.4394822006472492,0.18501362397820165,0.2604026845637584,0.7851815684172037,0.3480907781764466,3670
F1_FINAL_BLOCK,4,6,Tumor,0.7884561501821239,0.7922297297297297,0.7903384356129758,0.9641392852402026,0.8717668300899419,3552
