accuracy,balanced_accuracy,macro_f1,macro_auprc,macro_auroc,weighted_f1,mcc,lowest_three_f1,candidate,fold,n_train,n_val
0.49287645590682194,0.4435195158214003,0.41993285416130127,0.4379567270330345,0.7848561641306128,0.47392573306423114,0.3846076214830347,0.24983387708790294,SINGLE,0,76812,19232
0.4464935695219607,0.4590747393367406,0.4263918559409735,0.45765663869060813,0.7836715285658327,0.44917210042744865,0.33288425832121366,0.25285306439976396,SINGLE,1,79560,16484
0.4278021138930193,0.38944549291068553,0.37513654740356506,0.38195260199668407,0.7708787658684322,0.42170581175988586,0.31296254023905856,0.24866706677244796,SINGLE,2,71161,24883
0.48525469168900803,0.4518776046312097,0.4130304283079957,0.4286087708010644,0.8149740057101044,0.48728548630893603,0.39101504815957516,0.23033498072701442,SINGLE,3,89330,6714
0.47634958755351364,0.4824166213249242,0.4675734626071367,0.49554384540375596,0.815107530009619,0.46204154275757486,0.3897614544580079,0.3137081664952832,SINGLE,4,67313,28731
0.507019550748752,0.4579039775070573,0.43199362784617856,0.4537184666467184,0.7941259346049995,0.4866522473202187,0.4022198276654514,0.2565440905389677,TTA4,0,76812,19232
0.44697888861926716,0.45595239602912113,0.4272527037466102,0.4585878190404428,0.7857873287107154,0.4507290022114422,0.3340183797822333,0.2449394858121662,TTA4,1,79560,16484
0.43214242655628343,0.39114456073339426,0.37744672404260965,0.3869313899149782,0.7743485444348248,0.4230779283229708,0.31657280573837726,0.25234049230493555,TTA4,2,71161,24883
0.4940422996723265,0.4587219109206039,0.4228730684773181,0.4410408797773611,0.8220448289626564,0.4977667561616881,0.40044108605898143,0.23924794585675876,TTA4,3,89330,6714
0.481848874038495,0.4893323530276188,0.4745527183352773,0.5052466390892294,0.8199317928928826,0.4686260778820027,0.3968830205114907,0.3223167432760224,TTA4,4,67313,28731
0.5098793677204659,0.45880254789190883,0.4348393970444558,0.45356955852442393,0.7937605051466556,0.48918280056005153,0.40442459954528537,0.26113602737382147,TTA8,0,76812,19232
0.4478281970395535,0.4547776933203727,0.4270622315346966,0.45790321971251907,0.7840489742401655,0.45060726189555333,0.3328789013274378,0.24678280717233028,TTA8,1,79560,16484
0.4306956556685287,0.3902403700234834,0.3764414683674852,0.38705426556600847,0.7749984400431121,0.42141082535599733,0.3149876398001636,0.25228583222900114,TTA8,2,71161,24883
0.49180816204944894,0.4573310022822737,0.4211418975612643,0.4418282319377639,0.8220272415516686,0.4957659873846503,0.3978993751293462,0.23896711557521474,TTA8,3,89330,6714
0.48251018064111934,0.49011378173994125,0.4738998838291429,0.5055220207433003,0.8202056667336501,0.4680284635544674,0.3980539569525495,0.31940824896336184,TTA8,4,67313,28731
