candidate,n_folds,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,macro_auprc,macro_auprc_sd,macro_auroc,macro_auroc_sd,weighted_f1,weighted_f1_sd,mcc,mcc_sd,lowest_three_f1,lowest_three_f1_sd
SINGLE,5,0.46575528371286473,0.027565743684002286,0.44526679480499204,0.03440037237528514,0.4204130296841945,0.033032355411811286,0.44034371678502937,0.041532277893167165,0.7938975988569202,0.02006404017766248,0.4588261348636153,0.025096763569496458,0.362246184532178,0.03665982733742425,0.2590794310964825,0.03179311010383771
TTA4,5,0.4724064079270248,0.03171391085883197,0.4506110396435591,0.03599689392069425,0.4268237684895987,0.034491537489287835,0.449105038893746,0.0424077805274026,0.7992476859212158,0.02106491639911022,0.4653704023796645,0.02964820418736387,0.37002702395130677,0.04134190439420389,0.26307775155777013,0.033779031685249886
TTA8,5,0.47254431262382324,0.03250583492866164,0.45025307905159595,0.036517336337326234,0.426676975667409,0.034824631668522794,0.44917545929680314,0.042377592419651854,0.7990081655430504,0.021254377076678835,0.464999067750144,0.03019806478122205,0.3696488945509565,0.04229116944880352,0.2637160062627459,0.032164312087437516
