model,macro_f1,neutrophil_f1,knn_batch_purity,spatial_knn_purity
Task011 BEST_FOV,0.4204130296841945,0.2137833001932899,0.61822,0.03507
Task011 F1 final block,0.4524265330530269,0.23226985538262354,0.66374,0.03399
