candidate,fold,comparison,auroc,auprc,f1,sensitivity,precision,n_val
F1_FINAL_BLOCK,0,neutrophil_vs_myeloid,0.713887849349922,0.5147762000126362,0.4972796517954298,0.4634888438133874,0.5363849765258216,3463
F1_FINAL_BLOCK,0,neutrophil_vs_tb,0.7480594019106721,0.36782433609778553,0.3594171613599568,0.33772819472616633,0.38408304498269896,6727
F1_FINAL_BLOCK,1,neutrophil_vs_myeloid,0.7116574776408805,0.2290567284437861,0.23357664233576644,0.6066350710900474,0.14463276836158193,2709
F1_FINAL_BLOCK,1,neutrophil_vs_tb,0.6605959712951284,0.11192722563543872,0.12353567625133122,0.5497630331753555,0.06958608278344332,4618
F1_FINAL_BLOCK,2,neutrophil_vs_myeloid,0.7627717518357744,0.4239935543378156,0.47047179148795776,0.5825163398692811,0.3945766463752075,6536
F1_FINAL_BLOCK,2,neutrophil_vs_tb,0.695675988482291,0.30551973432005985,0.37610806247361755,0.7279411764705882,0.2535571997723392,7162
F1_FINAL_BLOCK,3,neutrophil_vs_myeloid,0.6873094084476199,0.40020180362064683,0.4440116845180136,0.6909090909090909,0.32711621233859395,1437
F1_FINAL_BLOCK,3,neutrophil_vs_tb,0.7014923402007396,0.42765183235603543,0.45033112582781454,0.6181818181818182,0.3541666666666667,1592
F1_FINAL_BLOCK,4,neutrophil_vs_myeloid,0.7446675927827113,0.6649983137453737,0.6307692307692309,0.6413813459268005,0.6205025699600228,7988
F1_FINAL_BLOCK,4,neutrophil_vs_tb,0.682167467162513,0.6538814924164243,0.6589089089089089,0.7771546635182999,0.5718940052128584,7058
