candidate,fold,comparison,auroc,auprc,f1,sensitivity,specificity,precision,n_val
F1_FINAL_BLOCK,0,neutrophil_vs_myeloid,0.7103510511717946,0.5062072570530438,0.513819664703217,0.5750507099391481,0.7359709325797336,0.4643734643734644,3463
F1_FINAL_BLOCK,0,neutrophil_vs_tb,0.7272306101833967,0.3825120877248672,0.38657718120805373,0.4381338742393509,0.8576902978575162,0.3458767013610889,6727
F1_FINAL_BLOCK,1,neutrophil_vs_myeloid,0.691134898440079,0.17923171526962545,0.24031007751937983,0.44075829383886256,0.8118494795836669,0.16518650088809947,2709
F1_FINAL_BLOCK,1,neutrophil_vs_tb,0.6577138696838399,0.09145762821167999,0.1303370786516854,0.41232227488151657,0.7646925346040391,0.07740213523131673,4618
F1_FINAL_BLOCK,2,neutrophil_vs_myeloid,0.73256798640641,0.41183765066092554,0.41649312786339027,0.4084967320261438,0.8725527108433735,0.42480883602378927,6536
F1_FINAL_BLOCK,2,neutrophil_vs_tb,0.70143174733686,0.34437548863802414,0.3840604603229131,0.45669934640522875,0.81003704951162,0.33135743924125666,7162
F1_FINAL_BLOCK,3,neutrophil_vs_myeloid,0.7178122690317812,0.4222300952900883,0.4727668845315904,0.6575757575757576,0.6648599819331527,0.36904761904761907,1437
F1_FINAL_BLOCK,3,neutrophil_vs_tb,0.7532296018825337,0.4709863504254212,0.486784140969163,0.6696969696969697,0.7171156893819335,0.38235294117647056,1592
F1_FINAL_BLOCK,4,neutrophil_vs_myeloid,0.7493262987012987,0.6727828025675906,0.6369782480893592,0.6396103896103896,0.7284782608695652,0.634367681498829,7988
F1_FINAL_BLOCK,4,neutrophil_vs_tb,0.695065610634102,0.6757036090225514,0.6223021582733813,0.6127508854781583,0.6708446866485014,0.6321559074299634,7058
