candidate,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
F1_FINAL_BLOCK,0,0,Endothelial,0.4315651604453176,0.5514644351464435,0.4842027920646583,0.8328651498371028,0.5058576884616481,2390
F1_FINAL_BLOCK,0,1,Mesenchymal,0.3713472976467546,0.4261127596439169,0.39684952328312834,0.7291829529693606,0.3781120773847586,3370
F1_FINAL_BLOCK,0,2,Myeloid,0.3549382716049383,0.23213564796124345,0.28069319013912625,0.7118740156379907,0.28880015233306205,2477
F1_FINAL_BLOCK,0,3,Neutrophil,0.24971878515185603,0.22515212981744423,0.2368,0.7540612974940852,0.19089251428415135,986
F1_FINAL_BLOCK,0,4,Plasma cell,0.4991055456171735,0.40939104915627295,0.4498186215235792,0.8301896696866209,0.4475008612002453,1363
F1_FINAL_BLOCK,0,5,T and B,0.6598,0.5746385647099809,0.6142817242342427,0.8495765645617855,0.6875821828949016,5741
F1_FINAL_BLOCK,0,6,Tumor,0.7168838219326819,0.9091222030981068,0.8016390954621339,0.9728533783569385,0.8644951634597631,2905
F1_FINAL_BLOCK,1,0,Endothelial,0.541858574911948,0.7471049682480388,0.6281407035175879,0.900583336550659,0.724399089768304,2677
F1_FINAL_BLOCK,1,1,Mesenchymal,0.49532502226179875,0.5343419788664745,0.5140942698706099,0.7702975976053246,0.5642935207265731,4164
F1_FINAL_BLOCK,1,2,Myeloid,0.4084084084084084,0.1633306645316253,0.2333428653131255,0.7215871367192424,0.32430588046562464,2498
F1_FINAL_BLOCK,1,3,Neutrophil,0.0380811078140455,0.36492890995260663,0.06896551724137931,0.7169238843279203,0.051750321844664986,211
F1_FINAL_BLOCK,1,4,Plasma cell,0.5334063526834611,0.5874547647768396,0.5591274397244547,0.8862367597626639,0.5860249193008875,1658
F1_FINAL_BLOCK,1,5,T and B,0.6496153846153846,0.38325391422736554,0.4820893392321964,0.826856823094094,0.6157194812329795,4407
F1_FINAL_BLOCK,1,6,Tumor,0.7599531615925058,0.7468354430379747,0.7533372025536853,0.9647012200581675,0.8164866959171453,869
F1_FINAL_BLOCK,2,0,Endothelial,0.5122123893805309,0.48753369272237196,0.4995684446746072,0.8475563743894108,0.5111431521418872,2968
F1_FINAL_BLOCK,2,1,Mesenchymal,0.31493001555209954,0.2730030333670374,0.29247156526448814,0.7496722249176053,0.2825696609108341,2967
F1_FINAL_BLOCK,2,2,Myeloid,0.38590696394164603,0.26393072289156627,0.3134712129681386,0.6625616124376921,0.37200472325228284,5312
F1_FINAL_BLOCK,2,3,Neutrophil,0.15256709451575262,0.4272875816993464,0.22484952708512465,0.785735616646873,0.16698290293015988,1224
F1_FINAL_BLOCK,2,4,Plasma cell,0.333587786259542,0.3544201135442011,0.3436885568226504,0.8288717423770895,0.3116625684897416,1233
F1_FINAL_BLOCK,2,5,T and B,0.5565476190476191,0.3464129336476928,0.42702927133070373,0.7784950914886216,0.5268405760503244,5938
F1_FINAL_BLOCK,2,6,Tumor,0.6033158107561666,0.8540354894104178,0.7071090047393364,0.9245706455027923,0.7968729085465605,5241
F1_FINAL_BLOCK,3,0,Endothelial,0.6057298772169167,0.7121090617481957,0.6546258754146701,0.895696186303503,0.7163910251453613,1247
F1_FINAL_BLOCK,3,1,Mesenchymal,0.4874446085672083,0.28472821397756687,0.35947712418300654,0.7576472315048588,0.432773727538604,1159
F1_FINAL_BLOCK,3,2,Myeloid,0.34643377001455605,0.21499548328816623,0.2653288740245262,0.7198153231160751,0.3120718935610231,1107
F1_FINAL_BLOCK,3,3,Neutrophil,0.16419753086419753,0.403030303030303,0.23333333333333336,0.7987357123870282,0.19779485726651708,330
F1_FINAL_BLOCK,3,4,Plasma cell,0.24568965517241378,0.3825503355704698,0.2992125984251968,0.882899962685995,0.29178620059468763,149
F1_FINAL_BLOCK,3,5,T and B,0.4896907216494845,0.5269413629160064,0.5076335877862596,0.8500152025514707,0.513433545117015,1262
F1_FINAL_BLOCK,3,6,Tumor,0.8611859838274932,0.8753424657534247,0.8682065217391304,0.9765875705920082,0.9394786801886855,1460
F1_FINAL_BLOCK,4,0,Endothelial,0.45080374492139197,0.6290362336701997,0.5252109487548879,0.8530713214140343,0.5441503602613762,4057
F1_FINAL_BLOCK,4,1,Mesenchymal,0.5355888924353654,0.31493993993993996,0.3966434227632668,0.8030882600328825,0.4908101636765783,5328
F1_FINAL_BLOCK,4,2,Myeloid,0.36678019386953103,0.30434782608695654,0.3326600926695973,0.7236221313734994,0.3322870539872382,4600
F1_FINAL_BLOCK,4,3,Neutrophil,0.3596916299559471,0.4819952774498229,0.41195761856710394,0.8172637878204774,0.38072248031508926,3388
F1_FINAL_BLOCK,4,4,Plasma cell,0.5109576703692584,0.8230174081237911,0.6304871272457861,0.9170796546215028,0.745462017853596,4136
F1_FINAL_BLOCK,4,5,T and B,0.4521158129175947,0.16594005449591281,0.24277456647398843,0.7803092334812051,0.3456038702584901,3670
F1_FINAL_BLOCK,4,6,Tumor,0.7863343601232148,0.7905405405405406,0.7884318405166364,0.9636239156021266,0.8692517035727488,3552
