model,candidate,macro_f1,macro_auprc,lowest_three_f1,accuracy,balanced_accuracy,neutrophil_f1,neutrophil_auprc,n_vs_myeloid_auroc,n_vs_myeloid_auprc,n_vs_tb_auroc,n_vs_tb_auprc,n_vs_all_immune_auroc,n_vs_all_immune_auprc,knn_batch_purity,spatial_knn_purity,class_knn_purity,true_n_vs_myeloid_auroc,true_n_vs_myeloid_auprc,true_n_vs_myeloid_f1,true_n_vs_tb_auroc,true_n_vs_tb_auprc,true_n_vs_tb_f1,pairwise_diag_n_vs_myeloid_auroc,pairwise_diag_n_vs_myeloid_auprc,pairwise_diag_n_vs_tb_auroc,pairwise_diag_n_vs_tb_auprc
Task010 corrected CellViT,CELLVIT_TOKEN_ALIGNED,0.3364371941476055,0.3417879287250164,0.1896955557679615,0.3802863955135942,0.3632646130079459,0.1885025500452697,0.1327108875831819,0.643949949893696,0.3506638631779769,0.6727693681526551,0.3305684912866076,,,0.50094,,0.27945,,,,,,,,,,
Task010 Midnight 16 μm,MIDNIGHT12K_SMALL,0.4115773954169853,0.4327124114000814,0.2444042212287433,0.4610837849860011,0.438189846224825,0.217503052918526,0.1619963578982622,0.6712105226436864,0.3801362869726059,0.7074462707285241,0.3706486110980185,,,0.73083,,0.29197,,,,,,,,,,
Task011 BEST_FOV,FOV12,0.4204130296841945,0.4403437167850293,0.2590794310964825,0.4657552837128647,0.445266794804992,0.2137833001932899,0.1670688565225458,0.687749257018995,0.3953222392139798,0.6976777249750894,0.3603381544388975,,,0.61822,0.03507,0.28883,,,,,,,,,,
Task011 BEST_FUSION,B0_raw,0.4204130296841945,0.4403437167850293,0.2590794310964825,0.4657552837128647,0.445266794804992,0.2137833001932899,0.1670688565225458,0.68910862778096,0.3979611913350356,0.696273995380927,0.3603274024839125,,,0.61822,0.03507,0.28883,,,,,,,,,,
Task011 HIERARCHICAL,HIERARCHICAL,0.406511397951052,0.4396488357887599,0.2377822390161931,0.4648666464547892,0.4345133116193055,0.2092107698852036,0.1677813885501036,0.687749257018995,0.3953222392139798,0.6976777249750894,0.3603381544388975,0.6965757889052065,0.2275811115314324,0.61822,0.03507,0.28883,,,,,,,,,,
Task011 HIERARCHICAL + N specialist,HIERARCHICAL_SPECIALIST,0.3798695114412819,0.4226951623546179,0.1849100075419785,0.4544513845338598,0.4104037810603363,0.1879096492416886,0.1510784875144446,0.687749257018995,0.3953222392139798,0.6976777249750894,0.3603381544388975,0.6965757889052065,0.2275811115314324,0.61822,0.03507,0.28883,,,,,,,,,,
Task011 TTA best,SINGLE,0.4204130296841945,0.4403437167850293,0.2590794310964825,0.4657552837128647,0.445266794804992,0.2137833001932899,0.1670688565225458,0.687749257018995,0.3953222392139798,0.6976777249750894,0.3603381544388975,,,0.61822,0.03507,0.28883,,,,,,,,,,
Task011 F1 final block CORRECTED,F1_FINAL_BLOCK,0.4522158113983527,0.4893232748838146,0.286632375214441,0.4964205273905978,0.4791830144870932,0.23518119924538822,0.19762861532811646,,,,,,,0.66654,0.03413,0.33567,0.7202385007502727,0.43845790416825475,0.45607360054138735,0.7069342879441465,0.39300703280450877,0.4020122038850393,0.7236370431699488,0.4460708586572051,0.7026556391950405,0.3779299210943045
