representation,fold,comparison,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,precision,n_val
CELLVIT_TOKEN_ALIGNED,0,neutrophil_vs_myeloid,0.6533917313114322,0.433410302963328,0.6137663256523914,0.451422963689892,0.4665314401622718,0.7610012111425111,0.4372623574144487,3463
CELLVIT_TOKEN_ALIGNED,1,neutrophil_vs_myeloid,0.6314587214795533,0.1467141680380914,0.5857937534862013,0.195754716981132,0.3933649289099526,0.77822257806245,0.130298273155416,2709
CELLVIT_TOKEN_ALIGNED,2,neutrophil_vs_myeloid,0.65879118496043,0.3012796257596538,0.6028476651704858,0.3572433192686357,0.4150326797385621,0.7906626506024096,0.3135802469135803,6536
CELLVIT_TOKEN_ALIGNED,3,neutrophil_vs_myeloid,0.6179737756973529,0.2998820963408434,0.5908433932824176,0.4061096136567834,0.6848484848484848,0.4968383017163505,0.2886334610472541,1437
CELLVIT_TOKEN_ALIGNED,4,neutrophil_vs_myeloid,0.6581343360197115,0.5720331227879676,0.6136173707715209,0.5710698842237412,0.6041912632821723,0.6230434782608696,0.5413911663581064,7988
PHIKON_V2_SMALL,0,neutrophil_vs_myeloid,0.5659839284091124,0.3629789871821183,0.5564288820229274,0.4053833605220228,0.5040567951318459,0.6088009689140089,0.3390177353342428,3463
PHIKON_V2_SMALL,1,neutrophil_vs_myeloid,0.5990176027077586,0.1491562906632898,0.5624841105111578,0.1788856304985337,0.2890995260663507,0.8358686949559647,0.1295116772823779,2709
PHIKON_V2_SMALL,2,neutrophil_vs_myeloid,0.6443006246800929,0.28309015802753,0.5505748484132609,0.2476566354218056,0.2050653594771241,0.8960843373493976,0.3125778331257783,6536
PHIKON_V2_SMALL,3,neutrophil_vs_myeloid,0.623081766171197,0.3321268151366969,0.5917754783608442,0.4074733096085409,0.693939393939394,0.4896115627822945,0.2884130982367758,1437
PHIKON_V2_SMALL,4,neutrophil_vs_myeloid,0.6550001283301679,0.5674080264106898,0.6126471947025307,0.5814046822742476,0.6413813459268005,0.5839130434782609,0.5316858331294348,7988
PHIKON_V2_CONTEXT,0,neutrophil_vs_myeloid,0.4592549631047831,0.281204349143445,0.4874041997738218,0.3181818181818182,0.383367139959432,0.5914412595882116,0.2719424460431655,3463
PHIKON_V2_CONTEXT,1,neutrophil_vs_myeloid,0.5073290860176293,0.0918866964070789,0.5077815807148088,0.1151515151515151,0.1800947867298578,0.8354683746997598,0.0846325167037861,2709
PHIKON_V2_CONTEXT,2,neutrophil_vs_myeloid,0.5566664636487124,0.2211226735687604,0.528983581384361,0.2365245374094931,0.2401960784313725,0.8177710843373494,0.2329635499207607,6536
PHIKON_V2_CONTEXT,3,neutrophil_vs_myeloid,0.5741425091018587,0.2643330747346141,0.5455161369795516,0.3150684931506849,0.3484848484848485,0.7425474254742548,0.2875,1437
PHIKON_V2_CONTEXT,4,neutrophil_vs_myeloid,0.5970679764899133,0.4979489509203096,0.5709945588008829,0.543543938000788,0.6106847697756789,0.5313043478260869,0.4897041420118343,7988
MIDNIGHT12K_SMALL,0,neutrophil_vs_myeloid,0.6439318812179556,0.4350229047915483,0.6138152544996114,0.4626998223801065,0.5283975659229209,0.699232943076302,0.4115323854660347,3463
MIDNIGHT12K_SMALL,1,neutrophil_vs_myeloid,0.6546298650294644,0.1455600990733228,0.585147739044316,0.2028169014084507,0.3412322274881517,0.8290632506004804,0.1442885771543086,2709
MIDNIGHT12K_SMALL,2,neutrophil_vs_myeloid,0.6901046280711078,0.3439669095911247,0.6193271861957634,0.380534211489206,0.4248366013071895,0.8138177710843374,0.3445990722332671,6536
MIDNIGHT12K_SMALL,3,neutrophil_vs_myeloid,0.6601954504393529,0.3514368003894939,0.623380142892338,0.4326530612244897,0.6424242424242425,0.6043360433604336,0.3261538461538461,1437
MIDNIGHT12K_SMALL,4,neutrophil_vs_myeloid,0.7071907884605514,0.6246947210175396,0.6521195010523073,0.6015213575190171,0.6068476977567887,0.697391304347826,0.5962877030162413,7988
MIDNIGHT12K_CONTEXT,0,neutrophil_vs_myeloid,0.5827147280334043,0.3478734145333618,0.5288549175743411,0.2277580071174377,0.1622718052738336,0.8954380298748487,0.3818615751789976,3463
MIDNIGHT12K_CONTEXT,1,neutrophil_vs_myeloid,0.5361236856784005,0.0818346766307385,0.5216258314708639,0.1393442622950819,0.3222748815165877,0.7209767814251401,0.0888888888888888,2709
MIDNIGHT12K_CONTEXT,2,neutrophil_vs_myeloid,0.5095873690841799,0.2056085066179014,0.5098205321285141,0.0732758620689655,0.0416666666666666,0.9779743975903614,0.3035714285714285,6536
MIDNIGHT12K_CONTEXT,3,neutrophil_vs_myeloid,0.6158139662204704,0.3062352981824823,0.5762379896526238,0.3742824339839265,0.4939393939393939,0.6585365853658537,0.3012939001848428,1437
MIDNIGHT12K_CONTEXT,4,neutrophil_vs_myeloid,0.5894793003439249,0.5128659768646366,0.5612097684923771,0.4941628491207329,0.4935064935064935,0.6289130434782608,0.4948209529446581,7988
