representation,within_class_cosine_distance,between_class_cosine_distance,class_separation_ratio,within_batch_cosine_distance,between_batch_cosine_distance,batch_separation_ratio,knn_class_purity,knn_batch_purity,silhouette,n_geometry
CELLVIT_TOKEN_ALIGNED,0.9867220520973206,1.0016776323318481,1.015156865119934,0.9711906313896179,1.0043364763259888,1.034129023551941,0.27945,0.50094,-0.006127680651843548,10000
PHIKON_V2_SMALL,0.9870501756668091,1.0020525455474854,1.0151991844177246,0.9001514911651611,1.017508864402771,1.1303751468658447,0.26579,0.84139,-0.012773022055625916,10000
PHIKON_V2_CONTEXT,0.9844428300857544,1.0029244422912598,1.0187736749649048,0.8174183368682861,1.0327197313308716,1.2633919715881348,0.25244,0.98705,-0.020992809906601906,10000
MIDNIGHT12K_SMALL,0.9731667637825012,1.0049093961715698,1.0326179265975952,0.9024503827095032,1.0173221826553345,1.127288818359375,0.29197,0.73083,-0.021968524903059006,10000
MIDNIGHT12K_CONTEXT,0.9658768773078918,1.0058009624481201,1.0413345098495483,0.7937977313995361,1.0363212823867798,1.305523157119751,0.25657,0.95661,-0.04714483022689819,10000
