representation,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,macro_auprc,macro_auprc_sd,macro_auroc,macro_auroc_sd,weighted_f1,weighted_f1_sd,mcc,mcc_sd,lowest_three_f1,lowest_three_f1_sd
CELLVIT_TOKEN_ALIGNED,0.37654077562191984,0.041398173723930065,0.36605313017617075,0.03423959527088455,0.3239160747548079,0.03536002171230527,0.3438242723251607,0.03271661984045988,0.7369921773413173,0.02535909319045593,0.36739757116075855,0.03272413257443827,0.26829515367624057,0.043308363776326964,0.16820439209492413,0.05998232596658098
MIDNIGHT12K_CONTEXT,0.3489626033171113,0.04186398831009416,0.298749372600311,0.033060349697176895,0.26241648841348286,0.021775205087996987,0.29890504093191145,0.02946324537149706,0.7070711981437151,0.026562183800346605,0.3107798428650208,0.029894992853528476,0.219310764117651,0.04261093675765974,0.11333607843552258,0.01718347142911668
MIDNIGHT12K_SMALL,0.4376761134337281,0.0335906755125896,0.4267066107737551,0.026747533026528648,0.38130336636816553,0.02380845128961128,0.41509542599356697,0.03293725290263813,0.7791372467804109,0.01929208584892301,0.4144518847810506,0.02697433738701979,0.33635649488661823,0.037830636213810886,0.20352123631621746,0.026277889740919973
PHIKON_V2_CONTEXT,0.3398477568111487,0.03677339939163946,0.29314356907932926,0.03676768466883941,0.25932432476459744,0.015453609515495875,0.285365188757308,0.02908729307632084,0.6910227006303709,0.030161002400802665,0.3056144487035041,0.02501431180723431,0.20494284748414193,0.04620552835607935,0.11342097907144284,0.015437745152761688
PHIKON_V2_SMALL,0.3654470425936972,0.023325597840628053,0.35637186333129184,0.028383682928234864,0.308333066907221,0.01917427789340961,0.3348943164593965,0.03430794162270011,0.7267922150842895,0.025003459277842,0.34470088646490793,0.02444464494413188,0.2548039340370656,0.03326900388267962,0.14684716896867672,0.022972393893085672
