representation,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,macro_auprc,macro_auprc_sd,macro_auroc,macro_auroc_sd,weighted_f1,weighted_f1_sd,mcc,mcc_sd,lowest_three_f1,lowest_three_f1_sd
CELLVIT_TOKEN_ALIGNED,0.3802863955135942,0.02884183930637811,0.3632646130079459,0.02645171603310534,0.33643719414760553,0.026266411798619774,0.3417879287250164,0.025976080471179875,0.733775817790491,0.018789223906339456,0.38065991780909025,0.027938938137620908,0.2664744730350758,0.033088967955832625,0.18969555576796152,0.05380884060669241
MIDNIGHT12K_CONTEXT,0.3668278063641899,0.025429073636244838,0.3088169600923747,0.031828725745685446,0.28061025125139477,0.02213382137758737,0.307229468331789,0.0304966808619563,0.7077250718674021,0.030991246712823217,0.3284339731641569,0.023671414202318608,0.23308818496231964,0.03455541627200908,0.1270485495061048,0.031980834292112625
MIDNIGHT12K_SMALL,0.4610837849860011,0.025142277223166764,0.438189846224825,0.03774696950340521,0.41157739541698535,0.031241451484061992,0.43271241140008143,0.0393073534368538,0.7899318499802992,0.02081255327451698,0.44859226303137445,0.024672097161067743,0.3547473826543571,0.03833794032836337,0.24440422122874333,0.03366817998211764
PHIKON_V2_CONTEXT,0.33512075508449085,0.029637844340670523,0.2957855866197111,0.036248661499327234,0.2726019657171412,0.025328584727251167,0.2833667461837355,0.03147210911071252,0.6847298663792267,0.031977379186848745,0.316593916494248,0.03151616792451568,0.19985028947655215,0.0440631567746756,0.13144713823875753,0.02541953169512938
PHIKON_V2_SMALL,0.38737909631662726,0.01933578888183862,0.3631480571392735,0.035660609161215204,0.3365855328337718,0.024290407166283147,0.34343157967423155,0.03389380803206517,0.7315952263942708,0.022939541892832684,0.3761527608923191,0.02345379540475032,0.26825806707626565,0.03309135633877254,0.18388377471149567,0.019599637725027565
