representation,fold,source,target,count,source_total,rate
PHIKON_V2_CONTEXT,0,Myeloid,Neutrophil,315,2477,0.12716996366572467
PHIKON_V2_CONTEXT,0,Neutrophil,T and B,392,986,0.3975659229208925
PHIKON_V2_CONTEXT,0,T and B,Neutrophil,340,5741,0.05922313185856123
PHIKON_V2_CONTEXT,0,Neutrophil,Plasma cell,86,986,0.0872210953346856
PHIKON_V2_CONTEXT,0,Plasma cell,Neutrophil,67,1363,0.0491562729273661
PHIKON_V2_CONTEXT,1,Neutrophil,Myeloid,8,211,0.037914691943127965
PHIKON_V2_CONTEXT,1,Myeloid,Neutrophil,108,2498,0.04323458767013611
PHIKON_V2_CONTEXT,1,Neutrophil,T and B,17,211,0.08056872037914692
PHIKON_V2_CONTEXT,1,T and B,Neutrophil,94,4407,0.021329702745631948
PHIKON_V2_CONTEXT,1,Neutrophil,Plasma cell,40,211,0.1895734597156398
PHIKON_V2_CONTEXT,1,Plasma cell,Neutrophil,62,1658,0.03739445114595899
PHIKON_V2_CONTEXT,2,Neutrophil,Myeloid,496,1224,0.40522875816993464
PHIKON_V2_CONTEXT,2,Myeloid,Neutrophil,372,5312,0.07003012048192771
PHIKON_V2_CONTEXT,2,Neutrophil,T and B,279,1224,0.22794117647058823
PHIKON_V2_CONTEXT,2,T and B,Neutrophil,320,5938,0.05389019872010778
PHIKON_V2_CONTEXT,2,Neutrophil,Plasma cell,8,1224,0.006535947712418301
PHIKON_V2_CONTEXT,2,Plasma cell,Neutrophil,68,1233,0.055150040551500405
PHIKON_V2_CONTEXT,3,Neutrophil,Myeloid,75,330,0.22727272727272727
PHIKON_V2_CONTEXT,3,Myeloid,Neutrophil,113,1107,0.1020776874435411
PHIKON_V2_CONTEXT,3,Neutrophil,T and B,40,330,0.12121212121212122
PHIKON_V2_CONTEXT,3,T and B,Neutrophil,142,1262,0.11251980982567353
PHIKON_V2_CONTEXT,3,Neutrophil,Plasma cell,9,330,0.02727272727272727
PHIKON_V2_CONTEXT,3,Plasma cell,Neutrophil,15,149,0.10067114093959731
PHIKON_V2_CONTEXT,4,Neutrophil,Myeloid,332,3388,0.09799291617473435
PHIKON_V2_CONTEXT,4,Myeloid,Neutrophil,1229,4600,0.26717391304347826
PHIKON_V2_CONTEXT,4,Neutrophil,T and B,20,3388,0.0059031877213695395
PHIKON_V2_CONTEXT,4,T and B,Neutrophil,766,3670,0.20871934604904632
PHIKON_V2_CONTEXT,4,Neutrophil,Plasma cell,547,3388,0.16145218417945692
PHIKON_V2_CONTEXT,4,Plasma cell,Neutrophil,381,4136,0.09211798839458414
MIDNIGHT12K_SMALL,0,Neutrophil,Myeloid,38,986,0.038539553752535496
MIDNIGHT12K_SMALL,0,Myeloid,Neutrophil,319,2477,0.12878482034719418
MIDNIGHT12K_SMALL,0,Neutrophil,T and B,286,986,0.29006085192697767
MIDNIGHT12K_SMALL,0,T and B,Neutrophil,433,5741,0.0754224002786971
MIDNIGHT12K_SMALL,0,Neutrophil,Plasma cell,79,986,0.08012170385395538
MIDNIGHT12K_SMALL,0,Plasma cell,Neutrophil,72,1363,0.05282465150403522
MIDNIGHT12K_SMALL,1,Neutrophil,Myeloid,31,211,0.14691943127962084
MIDNIGHT12K_SMALL,1,Myeloid,Neutrophil,114,2498,0.045636509207365894
MIDNIGHT12K_SMALL,1,Neutrophil,T and B,30,211,0.14218009478672985
MIDNIGHT12K_SMALL,1,T and B,Neutrophil,298,4407,0.06761969593828
MIDNIGHT12K_SMALL,1,Neutrophil,Plasma cell,18,211,0.08530805687203792
MIDNIGHT12K_SMALL,1,Plasma cell,Neutrophil,71,1658,0.0428226779252111
MIDNIGHT12K_SMALL,2,Neutrophil,Myeloid,401,1224,0.3276143790849673
MIDNIGHT12K_SMALL,2,Myeloid,Neutrophil,489,5312,0.09205572289156627
MIDNIGHT12K_SMALL,2,Neutrophil,T and B,208,1224,0.16993464052287582
MIDNIGHT12K_SMALL,2,T and B,Neutrophil,565,5938,0.09514988211519029
MIDNIGHT12K_SMALL,2,Neutrophil,Plasma cell,20,1224,0.016339869281045753
MIDNIGHT12K_SMALL,2,Plasma cell,Neutrophil,121,1233,0.09813463098134631
MIDNIGHT12K_SMALL,3,Neutrophil,Myeloid,36,330,0.10909090909090909
MIDNIGHT12K_SMALL,3,Myeloid,Neutrophil,259,1107,0.23396567299006324
MIDNIGHT12K_SMALL,3,Neutrophil,T and B,67,330,0.20303030303030303
MIDNIGHT12K_SMALL,3,T and B,Neutrophil,291,1262,0.2305863708399366
MIDNIGHT12K_SMALL,3,Neutrophil,Plasma cell,11,330,0.03333333333333333
MIDNIGHT12K_SMALL,3,Plasma cell,Neutrophil,16,149,0.10738255033557047
MIDNIGHT12K_SMALL,4,Neutrophil,Myeloid,566,3388,0.16706021251475797
MIDNIGHT12K_SMALL,4,Myeloid,Neutrophil,941,4600,0.20456521739130434
MIDNIGHT12K_SMALL,4,Neutrophil,T and B,106,3388,0.03128689492325856
MIDNIGHT12K_SMALL,4,T and B,Neutrophil,750,3670,0.20435967302452315
MIDNIGHT12K_SMALL,4,Neutrophil,Plasma cell,363,3388,0.10714285714285714
MIDNIGHT12K_SMALL,4,Plasma cell,Neutrophil,213,4136,0.0514990328820116
MIDNIGHT12K_CONTEXT,0,Neutrophil,Myeloid,54,986,0.05476673427991886
MIDNIGHT12K_CONTEXT,0,Myeloid,Neutrophil,154,2477,0.0621719822365765
MIDNIGHT12K_CONTEXT,0,Neutrophil,T and B,377,986,0.38235294117647056
MIDNIGHT12K_CONTEXT,0,T and B,Neutrophil,125,5741,0.021773210242118098
MIDNIGHT12K_CONTEXT,0,Neutrophil,Plasma cell,66,986,0.06693711967545639
MIDNIGHT12K_CONTEXT,0,Plasma cell,Neutrophil,33,1363,0.02421129860601614
MIDNIGHT12K_CONTEXT,1,Neutrophil,Myeloid,0,211,0.0
MIDNIGHT12K_CONTEXT,1,Myeloid,Neutrophil,25,2498,0.010008006405124099
MIDNIGHT12K_CONTEXT,1,Neutrophil,T and B,18,211,0.08530805687203792
MIDNIGHT12K_CONTEXT,1,T and B,Neutrophil,47,4407,0.010664851372815974
MIDNIGHT12K_CONTEXT,1,Neutrophil,Plasma cell,11,211,0.052132701421800945
MIDNIGHT12K_CONTEXT,1,Plasma cell,Neutrophil,7,1658,0.004221954161640531
MIDNIGHT12K_CONTEXT,2,Neutrophil,Myeloid,365,1224,0.29820261437908496
MIDNIGHT12K_CONTEXT,2,Myeloid,Neutrophil,127,5312,0.02390813253012048
MIDNIGHT12K_CONTEXT,2,Neutrophil,T and B,89,1224,0.0727124183006536
MIDNIGHT12K_CONTEXT,2,T and B,Neutrophil,121,5938,0.020377231391040754
MIDNIGHT12K_CONTEXT,2,Neutrophil,Plasma cell,6,1224,0.004901960784313725
MIDNIGHT12K_CONTEXT,2,Plasma cell,Neutrophil,72,1233,0.058394160583941604
MIDNIGHT12K_CONTEXT,3,Neutrophil,Myeloid,30,330,0.09090909090909091
MIDNIGHT12K_CONTEXT,3,Myeloid,Neutrophil,121,1107,0.1093044263775971
MIDNIGHT12K_CONTEXT,3,Neutrophil,T and B,106,330,0.3212121212121212
MIDNIGHT12K_CONTEXT,3,T and B,Neutrophil,137,1262,0.10855784469096671
MIDNIGHT12K_CONTEXT,3,Neutrophil,Plasma cell,0,330,0.0
MIDNIGHT12K_CONTEXT,3,Plasma cell,Neutrophil,7,149,0.04697986577181208
MIDNIGHT12K_CONTEXT,4,Neutrophil,Myeloid,395,3388,0.11658795749704841
MIDNIGHT12K_CONTEXT,4,Myeloid,Neutrophil,1086,4600,0.23608695652173914
MIDNIGHT12K_CONTEXT,4,Neutrophil,T and B,10,3388,0.0029515938606847697
MIDNIGHT12K_CONTEXT,4,T and B,Neutrophil,713,3670,0.19427792915531336
MIDNIGHT12K_CONTEXT,4,Neutrophil,Plasma cell,507,3388,0.14964580873671782
MIDNIGHT12K_CONTEXT,4,Plasma cell,Neutrophil,267,4136,0.06455512572533849
