representation,precision,recall,f1,auroc,auprc
CELLVIT_TOKEN_ALIGNED,0.14232833982290402,0.3105693063679803,0.18850255004526972,0.7010407930594533,0.13271088758318195
MIDNIGHT12K_CONTEXT,0.13679834729090018,0.1567124956796297,0.13991552952391284,0.6282975134533765,0.10453399316805838
MIDNIGHT12K_SMALL,0.17204470273719857,0.32058180214761406,0.2175030529185261,0.7213251569780684,0.16199635789826225
PHIKON_V2_CONTEXT,0.1168623858107217,0.18306015566626202,0.14138423183613671,0.6125272982299113,0.09982175398099971
PHIKON_V2_SMALL,0.14914538323425527,0.280972078926596,0.1884907070315237,0.687385485621651,0.13489156433253047
