candidate,fold,comparison,auroc,auprc,f1,balanced_accuracy,sensitivity,precision,specificity,n_val
MUSK_BEST_FOV_SINGLE_SCALE,0,neutrophil_vs_myeloid,0.6876660817042143,0.48061151650477896,0.49514563106796117,0.6393475143736166,0.5689655172413793,0.43828125,0.7097295115058538,3463
MUSK_BEST_FOV_SINGLE_SCALE,0,neutrophil_vs_tb,0.6594848343628426,0.2741022418782293,0.3220216606498195,0.6096361073845896,0.45233265720081134,0.25,0.7669395575683678,6727
MUSK_BEST_FOV_SINGLE_SCALE,1,neutrophil_vs_myeloid,0.6528521395315304,0.1927099350104418,0.21369294605809128,0.613971746117273,0.4881516587677725,0.13678618857901725,0.7397918334667735,2709
MUSK_BEST_FOV_SINGLE_SCALE,1,neutrophil_vs_tb,0.6143651257101747,0.1066173134544432,0.11726027397260275,0.5825765128076079,0.5071090047393365,0.06629491945477076,0.6580440208758793,4618
MUSK_BEST_FOV_SINGLE_SCALE,2,neutrophil_vs_myeloid,0.6671915911193795,0.3149390385438178,0.34664712348845733,0.5960804000314985,0.38643790849673204,0.3142857142857143,0.8057228915662651,6536
MUSK_BEST_FOV_SINGLE_SCALE,2,neutrophil_vs_tb,0.592965133173512,0.2397946111905681,0.3009284543965046,0.5661898165575875,0.45016339869281047,0.22600492206726824,0.6822162344223645,7162
MUSK_BEST_FOV_SINGLE_SCALE,3,neutrophil_vs_myeloid,0.6167884810161232,0.31685361507794574,0.4084880636604774,0.5925474254742547,0.7,0.2883895131086142,0.48509485094850946,1437
MUSK_BEST_FOV_SINGLE_SCALE,3,neutrophil_vs_tb,0.6731018585218268,0.35084773510907175,0.41625371655104065,0.6323656533640686,0.6363636363636364,0.30927835051546393,0.6283676703645008,1592
MUSK_BEST_FOV_SINGLE_SCALE,4,neutrophil_vs_myeloid,0.6916153559878857,0.5916396589096716,0.5928864956780503,0.637323674349366,0.6174734356552538,0.5701826110656855,0.6571739130434783,7988
MUSK_BEST_FOV_SINGLE_SCALE,4,neutrophil_vs_tb,0.6591603157803306,0.6172708346002231,0.6274243862742438,0.6135589144568585,0.6827036599763873,0.580426599749059,0.5444141689373297,7058
