candidate,comparison,auroc,auprc,f1,sensitivity,specificity,precision,auroc_sd,auprc_sd,f1_sd,sensitivity_sd,specificity_sd,precision_sd,n_val
MUSK_FOV12,neutrophil_vs_myeloid,0.626724733276309,0.34367061071447935,0.37122971441866387,0.44845607514934577,0.7256338595180853,0.33852822849059844,0.023878172424535115,0.14942123491489037,0.13844904471252226,0.14326867057911943,0.11991616018744283,0.15141536360385668,4426.6
MUSK_FOV12,neutrophil_vs_tb,0.6713912291399611,0.32454784833696754,0.36328191908109375,0.5012612794606068,0.7182746312513559,0.31114181581072164,0.030231214846993287,0.19635501452660117,0.1822723393655028,0.13701439970884496,0.10859455601668914,0.18687598492604682,5431.4
MUSK_FOV16,neutrophil_vs_myeloid,0.6118829002545323,0.3210813988754662,0.35433647478337105,0.423296586075364,0.722735716315733,0.32358385701775516,0.019843042059037346,0.16233588641315072,0.14938744239618257,0.17080947114589484,0.130849290558829,0.15237901368081974,4426.6
MUSK_FOV16,neutrophil_vs_tb,0.6730053567784585,0.32629413720689826,0.3779852625040571,0.5162602498343283,0.7138193433398623,0.31763484492540656,0.039491736692336035,0.1985735061950079,0.1842259999166575,0.14884361320661987,0.12611705150579428,0.18519114658633634,5431.4
MUSK_FOV24,neutrophil_vs_myeloid,0.5845594754541817,0.30047301986999186,0.317674183910718,0.3669909868001636,0.7254445928096411,0.29897783852538085,0.025623304333971107,0.16280795093738595,0.16284809421490942,0.19000126841992798,0.15529042966567258,0.14705717875593807,4426.6
MUSK_FOV24,neutrophil_vs_tb,0.6506718985429177,0.2940265210440699,0.3426814594243665,0.4509942008342187,0.7198876618896397,0.2914904862275611,0.028697679232587918,0.18644147687910984,0.18383557292338504,0.17175755691823158,0.15198329308377437,0.17319427359730658,5431.4
MUSK_FOV56,neutrophil_vs_myeloid,0.5827525281028971,0.2999263466451027,0.31957793048809147,0.35117129009107007,0.7497617270028304,0.3005183497099696,0.036264056247771556,0.14392700920706625,0.15689630696601284,0.18707053592014414,0.13199261755370584,0.1428070807645973,4426.6
MUSK_FOV56,neutrophil_vs_tb,0.678837254973373,0.32977168221393216,0.3540165388082216,0.4178026580020676,0.7555454986968249,0.3240170067214565,0.03671301687043955,0.19808124150263026,0.19860941673219248,0.26354899998961095,0.21878208835831467,0.16219513921302758,5431.4
MUSK_FOV8,neutrophil_vs_myeloid,0.6726585909646267,0.3967694692444108,0.41676182875726936,0.512733905377582,0.7308766948747663,0.3708394888035967,0.03140190399005412,0.1573330917508521,0.14723566823971995,0.12462639476694591,0.1047754759030049,0.16862447724815527,4426.6
MUSK_FOV8,neutrophil_vs_tb,0.6733913583951321,0.35126853583520073,0.3760436775809205,0.5302851749457134,0.7137080170697598,0.3180544182101383,0.03851455062515555,0.19107070403888582,0.18243595478034721,0.09727379309811227,0.0837682849459077,0.19179816515839102,5431.4
