model,candidate,model_type,macro_f1,macro_auprc,neutrophil_f1,neutrophil_auprc,comparison_note
CellViT aligned,CELLVIT_TOKEN_ALIGNED,frozen,0.3364371941476055,0.3417879287250164,0.1885025500452697,0.1327108875831819,frozen representation
Phikon SMALL,PHIKON_V2_SMALL,frozen,0.3365855328337718,0.3434315796742315,0.18849070703152365,0.1348915643325304,frozen representation
Midnight FOV12,MIDNIGHT12K_SMALL,frozen,0.4115773954169853,0.4327124114000814,0.21750305291852606,0.16199635789826222,frozen representation
Midnight F1 final-block,F1_FINAL_BLOCK,partially fine-tuned,0.4522158113983527,0.4893232748838146,0.23518119924538822,0.19762861532811646,corrected Task011 candidate; not directly frozen-comparable
MUSK MUSK_FOV8,MUSK_FOV8,frozen,0.3376688732338185,0.3488392438442056,0.19105722915674797,0.14652159402337192,official MUSK frozen linear probe
