candidate,n_geometry,class_separation_ratio,batch_separation_ratio,spatial_separation_ratio,knn_class_purity,knn_batch_purity,spatial_knn_purity
MUSK_FOV8,10000,1.037609577178955,1.0951226949691772,1.574874997138977,0.27936,0.51522,0.02514
MUSK_FOV12,10000,1.0364515781402588,1.1151562929153442,1.6264528036117554,0.2757,0.64057,0.04013
MUSK_FOV16,10000,1.0328747034072876,1.1292041540145874,1.829480767250061,0.26994,0.71773,0.05813
MUSK_FOV24,10000,1.0314701795578003,1.1682443618774414,2.1786603927612305,0.26498,0.83611,0.08739
MUSK_FOV56,10000,1.0348212718963623,1.2906044721603394,4.047779083251953,0.25112,0.97053,0.17911
