candidate,fold,delta_macro_f1_vs_midnight_fov12,delta_neutrophil_f1_vs_midnight_fov12,delta_neutrophil_auprc_vs_midnight_fov12,macro_f1_improved
MUSK_FOV8,0,-0.05991054456313144,0.017070044877726592,0.015282950415385105,False
MUSK_FOV8,1,-0.10041349038228359,-0.0217010631644778,-0.0147560952456003,False
MUSK_FOV8,2,-0.0835373394652209,-0.036416894931438876,-0.033844084354984705,False
MUSK_FOV8,3,-0.09284479689252761,-0.04543259038032549,-0.03360269604294179,False
MUSK_FOV8,4,-0.0770146109487157,-0.027149851584194196,-0.03581638726772751,False
