condition,macro_f1,macro_auprc,neutrophil_f1,neutrophil_auprc,n_vs_myeloid_auroc,n_vs_myeloid_auprc,n_vs_tb_auroc,n_vs_tb_auprc,macro_f1_delta_vs_ms,macro_auprc_delta_vs_ms,neutrophil_f1_delta_vs_ms,neutrophil_auprc_delta_vs_ms,n_vs_myeloid_auroc_delta_vs_ms,n_vs_myeloid_auprc_delta_vs_ms,n_vs_tb_auroc_delta_vs_ms,n_vs_tb_auprc_delta_vs_ms
MUSK_FOV8,0.33766887323381856,0.34883924384420567,0.191057229156748,0.14652159402337195,0.6726585909646268,0.39676946924441076,0.6733913583951321,0.35126853583520073,,,,,,,,
MUSK_BEST_FOV_SINGLE_SCALE,0.3279467030045933,0.3382289073234441,0.18174567937696764,0.13412875986961748,0.6632227298718266,0.3793507528093312,0.6398154535097373,0.31772654724650706,-0.00972217022922528,-0.010610336520761598,-0.009311549779780354,-0.012392834153754473,-0.009435861092800146,-0.01741871643507953,-0.03357590488539475,-0.03354198858869367
