candidate,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
MUSK_FOV8,0,0,Endothelial,0.31562819203268644,0.3878661087866109,0.3480382954758776,0.7687442208386187,0.35523893091899517,2390
MUSK_FOV8,0,1,Mesenchymal,0.33612273361227335,0.286053412462908,0.30907342096825907,0.6883415358805005,0.30805977757342473,3370
MUSK_FOV8,0,2,Myeloid,0.23405851462865718,0.12595882115462254,0.16377952755905512,0.6159697205938923,0.18345709745142375,2477
MUSK_FOV8,0,3,Neutrophil,0.18745493871665464,0.26369168356997974,0.21913190054782977,0.706386951020302,0.15779535385722426,986
MUSK_FOV8,0,4,Plasma cell,0.24285714285714285,0.2743947175348496,0.2576644850155012,0.7369025089130986,0.19787457410094972,1363
MUSK_FOV8,0,5,T and B,0.6592505854800936,0.49033269465249957,0.5623813804814705,0.8330309001991187,0.6578675110242881,5741
MUSK_FOV8,0,6,Tumor,0.5258321421278334,0.8864027538726333,0.6600871571391951,0.9456264276980351,0.7755254347301641,2905
MUSK_FOV8,1,0,Endothelial,0.354599761051374,0.5543518864400448,0.4325269600699505,0.7653494642063698,0.4166822032558388,2677
MUSK_FOV8,1,1,Mesenchymal,0.4057304563141139,0.2754562920268972,0.32813617508224857,0.6566499475248575,0.38621055513117664,4164
MUSK_FOV8,1,2,Myeloid,0.25473684210526315,0.19375500400320256,0.220100045475216,0.6150956658362583,0.2209580761605587,2498
MUSK_FOV8,1,3,Neutrophil,0.02876376988984088,0.22274881516587677,0.05094850948509484,0.6595978044054598,0.03809372836046684,211
MUSK_FOV8,1,4,Plasma cell,0.32993774759479344,0.3516284680337756,0.34043795620437955,0.7548334300727197,0.308379867272843,1658
MUSK_FOV8,1,5,T and B,0.5429266597149809,0.3544361243476288,0.42888522789676,0.7560707718844922,0.5149286979772195,4407
MUSK_FOV8,1,6,Tumor,0.401854714064915,0.5983889528193326,0.4808136846971799,0.8984845721284637,0.5163443259154976,869
MUSK_FOV8,2,0,Endothelial,0.3616926503340757,0.27358490566037735,0.3115288701323614,0.7439902730040655,0.31948635362684885,2968
MUSK_FOV8,2,1,Mesenchymal,0.20859444941808417,0.15706100438153017,0.17919630840223033,0.6374790518296628,0.1748018982673247,2967
MUSK_FOV8,2,2,Myeloid,0.2815715622076707,0.22665662650602408,0.25114726741760535,0.5799267162795579,0.2704119585685865,5312
MUSK_FOV8,2,3,Neutrophil,0.11652999568407424,0.22058823529411764,0.15249929398475007,0.6809599947732309,0.11391084180603046,1224
MUSK_FOV8,2,4,Plasma cell,0.11699665723836462,0.36901865369018655,0.17766497461928937,0.7026920023525014,0.13053064577697474,1233
MUSK_FOV8,2,5,T and B,0.5275062831611281,0.3181205793196362,0.3968904296669818,0.7462118543325457,0.4806313359627602,5938
MUSK_FOV8,2,6,Tumor,0.5226304999211481,0.6323220759397061,0.5722673113451907,0.840509409597605,0.5993400879402306,5241
MUSK_FOV8,3,0,Endothelial,0.41906202723146746,0.4442662389735365,0.4312962242117556,0.7523573312734905,0.42782977116294857,1247
MUSK_FOV8,3,1,Mesenchymal,0.32786885245901637,0.1898188093183779,0.24043715846994537,0.652242886066001,0.2826972925245379,1159
MUSK_FOV8,3,2,Myeloid,0.22393162393162394,0.11833785004516711,0.1548463356973995,0.6048772110097892,0.21307238536766823,1107
MUSK_FOV8,3,3,Neutrophil,0.10497737556561086,0.3515151515151515,0.1616724738675958,0.7107921318447634,0.11059842820028831,330
MUSK_FOV8,3,4,Plasma cell,0.0766721044045677,0.31543624161073824,0.12335958005249344,0.7601578433527398,0.07446895262923336,149
MUSK_FOV8,3,5,T and B,0.48301574150787074,0.4619651347068146,0.47225597407857434,0.8148801585483685,0.47854098763238395,1262
MUSK_FOV8,3,6,Tumor,0.7250206440957886,0.6013698630136987,0.6574316735305129,0.9116090284766728,0.7461703783391127,1460
MUSK_FOV8,4,0,Endothelial,0.3663348416289593,0.49889080601429625,0.42245877687330413,0.7739046123740987,0.38772892364819445,4057
MUSK_FOV8,4,1,Mesenchymal,0.3940520446096654,0.29842342342342343,0.3396347324575456,0.7266246585644739,0.3714397732780752,5328
MUSK_FOV8,4,2,Myeloid,0.2570888468809074,0.20695652173913043,0.22931470552812236,0.6209800896555576,0.2294270112015165,4600
