accuracy,balanced_accuracy,macro_f1,macro_auprc,macro_auroc,weighted_f1,mcc,lowest_three_f1,candidate,fold,n_train,n_val
0.427776622296173,0.3878143131477291,0.3600223095981698,0.37654552566521005,0.7564288950205093,0.41558424960814955,0.3163182633263792,0.21352530437412867,MUSK_FOV8,0,76812,19232
0.3534942975006066,0.36439507754810835,0.3259783655586899,0.34308535058194295,0.7294402365798031,0.36139069260967716,0.2304654393945668,0.19972824334751982,MUSK_FOV8,1,79560,16484
0.3379817546115822,0.31390744011308264,0.2915992079383441,0.29844473170696517,0.7045384717384527,0.3436923127344045,0.21687169083550376,0.16978685900208992,MUSK_FOV8,2,71161,24883
0.37667560321715815,0.35467275559764067,0.32018563141546813,0.3333397422651676,0.7438452272245465,0.38955581297610736,0.2704973836957781,0.14662612987249626,MUSK_FOV8,3,89330,6714
0.3871428074205562,0.3976697158396644,0.390558851658421,0.3927808690017424,0.7661761398395343,0.3827343781454873,0.2862504057017703,0.3053080804626704,MUSK_FOV8,4,67313,28731
0.43110440931780364,0.3708072787274222,0.3437686640366118,0.3570718703934415,0.740041190166753,0.40782979670247166,0.31124117268322155,0.1916420045459376,MUSK_FOV12,0,76812,19232
0.3490050958505217,0.35419393237862007,0.3214235681515163,0.3353206732808354,0.7167392976711104,0.3532803443479665,0.22123668837747743,0.1796783346976414,MUSK_FOV12,1,79560,16484
0.3383434473335209,0.30609304510139346,0.2853787229341805,0.2863958399181269,0.6901752326570879,0.3365442268384405,0.21086260787443106,0.1658120269986817,MUSK_FOV12,2,71161,24883
0.3871015787905868,0.35891591910222925,0.32632458155362637,0.3391901815145864,0.7449509793540546,0.3955797941316223,0.2776071400903836,0.16090323549747734,MUSK_FOV12,3,89330,6714
0.3661550241898994,0.3770675138312986,0.36475961273819824,0.37144048315218353,0.7475428196743786,0.35666530321035866,0.26359327154938,0.2611050685785518,MUSK_FOV12,4,67313,28731
0.4191451747088186,0.35940405735877856,0.33745163224696967,0.3356341991303989,0.7240945276528529,0.4016293890765851,0.296658968529404,0.18966329420705952,MUSK_FOV16,0,76812,19232
0.34245328803688424,0.33528733132892796,0.3121529606390205,0.32551474410190584,0.705432338777068,0.3435431708854739,0.21141399111655704,0.16768178364276323,MUSK_FOV16,1,79560,16484
0.34171924607161513,0.291061900052918,0.2773121592388316,0.27534106520066554,0.6837619589120317,0.33274558569757445,0.20423485263942864,0.15661550988528292,MUSK_FOV16,2,71161,24883
0.38605898123324395,0.35901878340162113,0.31631053731516606,0.33204786562490674,0.743732192458222,0.3825119565087367,0.27735788444973725,0.14545372603312098,MUSK_FOV16,3,89330,6714
0.3439838501966517,0.35193340571887133,0.3391479392224598,0.3497261916209066,0.7334314311391344,0.33274458505853177,0.23644331599799667,0.2363719639812011,MUSK_FOV16,4,67313,28731
0.40266222961730447,0.32525185041807,0.30364541644681914,0.30275290877171546,0.7004025884935107,0.3759264367345354,0.2689143762254014,0.15641967870450144,MUSK_FOV24,0,76812,19232
0.3169740354282941,0.3034848058271701,0.28390563902443017,0.3057526273023809,0.686241402049821,0.31478273167296417,0.18326956800023184,0.15425110486701513,MUSK_FOV24,1,79560,16484
0.33573122211951933,0.27210201665388434,0.26188188937593226,0.2632218893133631,0.6734341364557209,0.3175671711946328,0.18904789839336347,0.14529680475210507,MUSK_FOV24,2,71161,24883
0.36446231754542746,0.3298146549608716,0.3017844719741542,0.31577860026813315,0.7358116083656443,0.36881502930568755,0.25066838725453594,0.14866377156609797,MUSK_FOV24,3,89330,6714
0.33218474818140686,0.34332585705698004,0.32269711019481384,0.3291788134389302,0.7227665712884664,0.3164687888762623,0.2257439588260461,0.21705455052730285,MUSK_FOV24,4,67313,28731
0.3873232113144759,0.2963409502736715,0.26751261892322165,0.2815084623362586,0.677200571595632,0.34365556612434833,0.2436359184894477,0.10961889307703206,MUSK_FOV56,0,76812,19232
0.2960446493569522,0.26168676199378277,0.23762338269522307,0.268551049449057,0.655682884212396,0.2738485195504387,0.1481426465702516,0.12864408798926524,MUSK_FOV56,1,79560,16484
0.2963469035084194,0.22637394179553197,0.21367606754404816,0.22563081506309302,0.6331551455825312,0.27456519421952436,0.13587127470647675,0.09067472131307552,MUSK_FOV56,2,71161,24883
0.35701519213583555,0.2883973707872056,0.2695600460686392,0.2785361153767126,0.7157631617616568,0.33983295109009287,0.2266564354412389,0.1083181110180919,MUSK_FOV56,3,89330,6714
0.29657860847168566,0.3102256247738616,0.2730697704542233,0.2882187268125046,0.692564570779606,0.26716378679037983,0.18866235027148415,0.15975422995645797,MUSK_FOV56,4,67313,28731
